DISTRICT_NAME,TEMP,date
Alwar,5.7150235,2014-01-01
Meerut,7.280029,2014-01-01
Rohtak,5.6299133,2014-01-01
Alwar,2.9993043,2014-01-02
Meerut,4.7472034,2014-01-02
Rohtak,3.0861738,2014-01-02
Alwar,2.6653848,2014-01-03
Meerut,3.530681,2014-01-03
Rohtak,2.4661336,2014-01-03
Alwar,8.203204,2014-01-04
Meerut,7.193048,2014-01-04
Rohtak,7.2751155,2014-01-04
Alwar,7.1413546,2014-01-05
Meerut,6.6565022,2014-01-05
Rohtak,6.144707,2014-01-05
Alwar,5.803428,2014-01-06
Meerut,5.618394,2014-01-06
Rohtak,4.9338884,2014-01-06
Alwar,4.5085745,2014-01-07
Meerut,5.3196115,2014-01-07
Rohtak,4.5390596,2014-01-07
Alwar,3.7245007,2014-01-08
Meerut,4.7594376,2014-01-08
Rohtak,4.0994425,2014-01-08
Alwar,7.7887807,2014-01-09
Meerut,7.385625,2014-01-09
Rohtak,7.568804,2014-01-09
Alwar,4.7294264,2014-01-10
Meerut,5.0778046,2014-01-10
Rohtak,4.5941763,2014-01-10
Alwar,5.5744123,2014-01-11
Meerut,6.3431206,2014-01-11
Rohtak,5.139454,2014-01-11
Alwar,4.289199,2014-01-12
Meerut,5.4688106,2014-01-12
Rohtak,4.6242447,2014-01-12
Alwar,5.9675117,2014-01-13
Meerut,7.652776,2014-01-13
Rohtak,6.945551,2014-01-13
Alwar,6.7454114,2014-01-14
Meerut,7.514702,2014-01-14
Rohtak,6.7924848,2014-01-14
Alwar,7.4503193,2014-01-15
Meerut,7.6981783,2014-01-15
Rohtak,6.988999,2014-01-15
Alwar,6.3895054,2014-01-16
Meerut,7.4565187,2014-01-16
Rohtak,6.2755175,2014-01-16
Alwar,7.18668,2014-01-17
Meerut,7.735447,2014-01-17
Rohtak,6.765493,2014-01-17
Alwar,9.052467,2014-01-18
Meerut,10.061207,2014-01-18
Rohtak,9.376768,2014-01-18
Alwar,6.7039866,2014-01-19
Meerut,7.0864224,2014-01-19
Rohtak,7.030717,2014-01-19
Alwar,5.283853,2014-01-20
Meerut,6.794516,2014-01-20
Rohtak,5.6323957,2014-01-20
Alwar,10.218949,2014-01-21
Meerut,9.68721,2014-01-21
Rohtak,9.920675,2014-01-21
Alwar,12.071188,2014-01-22
Meerut,11.091954,2014-01-22
Rohtak,11.840313,2014-01-22
Alwar,11.862149,2014-01-23
Meerut,10.989412,2014-01-23
Rohtak,11.160954,2014-01-23
Alwar,9.351805,2014-01-24
Meerut,9.4306965,2014-01-24
Rohtak,9.23171,2014-01-24
Alwar,7.6808786,2014-01-25
Meerut,8.44062,2014-01-25
Rohtak,8.063083,2014-01-25
Alwar,7.149357,2014-01-26
Meerut,9.018525,2014-01-26
Rohtak,7.7000055,2014-01-26
Alwar,7.313423,2014-01-27
Meerut,7.6017265,2014-01-27
Rohtak,7.327661,2014-01-27
Alwar,7.011728,2014-01-28
Meerut,7.396927,2014-01-28
Rohtak,7.060579,2014-01-28
Alwar,7.809739,2014-01-29
Meerut,7.331278,2014-01-29
Rohtak,7.093219,2014-01-29
Alwar,9.119567,2014-01-30
Meerut,8.690729,2014-01-30
Rohtak,8.680283,2014-01-30
Alwar,7.917605,2014-01-31
Meerut,7.826595,2014-01-31
Rohtak,7.321562,2014-01-31
Alwar,9.019102,2014-02-01
Meerut,9.269074,2014-02-01
Rohtak,9.146811,2014-02-01
Alwar,7.5553765,2014-02-02
Meerut,7.598417,2014-02-02
Rohtak,7.6097655,2014-02-02
Alwar,9.109044,2014-02-03
Meerut,9.207072,2014-02-03
Rohtak,9.030331,2014-02-03
Alwar,11.455849,2014-02-04
Meerut,11.128012,2014-02-04
Rohtak,11.333622,2014-02-04
Alwar,11.402292,2014-02-05
Meerut,11.160374,2014-02-05
Rohtak,11.180354,2014-02-05
Alwar,11.384907,2014-02-06
Meerut,9.79392,2014-02-06
Rohtak,10.63525,2014-02-06
Alwar,14.274202,2014-02-07
Meerut,13.270022,2014-02-07
Rohtak,13.706907,2014-02-07
Alwar,10.421115,2014-02-08
Meerut,10.672511,2014-02-08
Rohtak,10.442011,2014-02-08
Alwar,6.87315,2014-02-09
Meerut,7.1696024,2014-02-09
Rohtak,6.727785,2014-02-09
Alwar,5.115987,2014-02-10
Meerut,5.581129,2014-02-10
Rohtak,5.3633595,2014-02-10
Alwar,5.6582727,2014-02-11
Meerut,5.5896482,2014-02-11
Rohtak,5.2047195,2014-02-11
Alwar,5.6866903,2014-02-12
Meerut,6.0787,2014-02-12
Rohtak,6.016217,2014-02-12
Alwar,5.6026707,2014-02-13
Meerut,5.3549166,2014-02-13
Rohtak,5.2308197,2014-02-13
Alwar,9.767631,2014-02-14
Meerut,10.499792,2014-02-14
Rohtak,10.218212,2014-02-14
Alwar,9.463814,2014-02-15
Meerut,10.039895,2014-02-15
Rohtak,9.709749,2014-02-15
Alwar,8.183625,2014-02-16
Meerut,6.722864,2014-02-16
Rohtak,7.381028,2014-02-16
Alwar,6.627817,2014-02-17
Meerut,7.262621,2014-02-17
Rohtak,6.915805,2014-02-17
Alwar,6.397361,2014-02-18
