DISTRICT_NAME,TEMP,date
Alwar,4.1525693,2019-01-01
Meerut,4.650799,2019-01-01
Rohtak,4.118371,2019-01-01
Alwar,6.5249386,2019-01-02
Meerut,7.4975286,2019-01-02
Rohtak,6.905925,2019-01-02
Alwar,5.918195,2019-01-03
Meerut,6.117816,2019-01-03
Rohtak,5.9330745,2019-01-03
Alwar,5.934839,2019-01-04
Meerut,5.9465103,2019-01-04
Rohtak,5.906161,2019-01-04
Alwar,7.7532988,2019-01-05
Meerut,7.260071,2019-01-05
Rohtak,7.178964,2019-01-05
Alwar,8.70535,2019-01-06
Meerut,8.642355,2019-01-06
Rohtak,9.197668,2019-01-06
Alwar,6.7343936,2019-01-07
Meerut,6.488482,2019-01-07
Rohtak,6.102095,2019-01-07
Alwar,6.2472606,2019-01-08
Meerut,6.9055023,2019-01-08
Rohtak,6.567125,2019-01-08
Alwar,5.8052087,2019-01-09
Meerut,6.496143,2019-01-09
Rohtak,6.134698,2019-01-09
Alwar,4.7274923,2019-01-10
Meerut,5.924241,2019-01-10
Rohtak,5.267742,2019-01-10
Alwar,6.20123,2019-01-11
Meerut,6.6661024,2019-01-11
Rohtak,6.935728,2019-01-11
Alwar,6.5132194,2019-01-12
Meerut,6.9554114,2019-01-12
Rohtak,6.9515543,2019-01-12
Alwar,8.237154,2019-01-13
Meerut,8.404628,2019-01-13
Rohtak,8.592958,2019-01-13
Alwar,6.4985914,2019-01-14
Meerut,6.1583695,2019-01-14
Rohtak,5.689363,2019-01-14
Alwar,3.5973473,2019-01-15
Meerut,4.9996586,2019-01-15
Rohtak,4.545223,2019-01-15
Alwar,4.050139,2019-01-16
Meerut,4.4455338,2019-01-16
Rohtak,4.3590274,2019-01-16
Alwar,4.547296,2019-01-17
Meerut,4.330506,2019-01-17
Rohtak,4.7597933,2019-01-17
Alwar,3.9249644,2019-01-18
Meerut,3.9795828,2019-01-18
Rohtak,4.037195,2019-01-18
Alwar,6.0036397,2019-01-19
Meerut,6.681696,2019-01-19
Rohtak,6.804813,2019-01-19
Alwar,8.426371,2019-01-20
Meerut,8.873253,2019-01-20
Rohtak,8.977282,2019-01-20
Alwar,11.430647,2019-01-21
Meerut,11.342194,2019-01-21
Rohtak,11.774176,2019-01-21
