DISTRICT_NAME,TEMP,date
Alwar,5.133041,2018-01-01
Meerut,6.4354463,2018-01-01
Rohtak,5.548551,2018-01-01
Alwar,6.076453,2018-01-02
Meerut,7.281626,2018-01-02
Rohtak,6.2511296,2018-01-02
Alwar,4.9303727,2018-01-03
Meerut,6.635298,2018-01-03
Rohtak,5.2747593,2018-01-03
Alwar,4.5809073,2018-01-04
Meerut,5.6538773,2018-01-04
Rohtak,5.268132,2018-01-04
Alwar,6.151756,2018-01-05
Meerut,6.437509,2018-01-05
Rohtak,6.314333,2018-01-05
Alwar,5.4609866,2018-01-06
Meerut,5.088683,2018-01-06
Rohtak,5.338819,2018-01-06
Alwar,5.177047,2018-01-07
Meerut,5.698764,2018-01-07
Rohtak,5.0671406,2018-01-07
Alwar,4.141072,2018-01-08
Meerut,4.8546515,2018-01-08
Rohtak,4.4274945,2018-01-08
Alwar,3.6800165,2018-01-09
Meerut,3.7988527,2018-01-09
Rohtak,3.203493,2018-01-09
Alwar,5.014623,2018-01-10
Meerut,5.4417114,2018-01-10
Rohtak,4.587194,2018-01-10
Alwar,5.4995008,2018-01-11
Meerut,7.185101,2018-01-11
Rohtak,5.87789,2018-01-11
Alwar,6.3718295,2018-01-12
Meerut,7.8307686,2018-01-12
Rohtak,6.9313836,2018-01-12
Alwar,6.441432,2018-01-13
Meerut,5.6981983,2018-01-13
Rohtak,5.9023304,2018-01-13
Alwar,5.5973015,2018-01-14
Meerut,5.338219,2018-01-14
Rohtak,5.1117587,2018-01-14
Alwar,5.8108478,2018-01-15
Meerut,5.5383587,2018-01-15
Rohtak,5.169239,2018-01-15
Alwar,5.0195484,2018-01-16
Meerut,6.028138,2018-01-16
Rohtak,5.2057753,2018-01-16
Alwar,6.6893535,2018-01-17
Meerut,6.8597593,2018-01-17
Rohtak,7.2576017,2018-01-17
Alwar,7.483917,2018-01-18
Meerut,6.533813,2018-01-18
Rohtak,7.172091,2018-01-18
Alwar,7.3305964,2018-01-19
Meerut,7.55375,2018-01-19
Rohtak,7.3354836,2018-01-19
Alwar,6.7427983,2018-01-20
Meerut,6.776093,2018-01-20
Rohtak,6.5960484,2018-01-20
Alwar,4.905444,2018-01-21
Meerut,5.7460365,2018-01-21
Rohtak,4.903292,2018-01-21
Alwar,6.5202165,2018-01-22
Meerut,5.8100996,2018-01-22
Rohtak,6.0487075,2018-01-22
Alwar,10.788315,2018-01-23
Meerut,9.321465,2018-01-23
Rohtak,10.253639,2018-01-23
Alwar,7.4255414,2018-01-24
Meerut,7.440462,2018-01-24
Rohtak,7.5055285,2018-01-24
Alwar,5.824197,2018-01-25
Meerut,7.0740914,2018-01-25
Rohtak,6.5283375,2018-01-25
Alwar,6.934312,2018-01-26
Meerut,7.740616,2018-01-26
Rohtak,7.52174,2018-01-26
Alwar,7.0992174,2018-01-27
Meerut,7.5958858,2018-01-27
Rohtak,7.8252563,2018-01-27
Alwar,6.277518,2018-01-28
Meerut,6.789826,2018-01-28
Rohtak,6.4883265,2018-01-28
Alwar,6.9206867,2018-01-29
Meerut,6.610168,2018-01-29
Rohtak,6.6575246,2018-01-29
Alwar,7.9000716,2018-01-30
Meerut,8.399856,2018-01-30
Rohtak,8.539704,2018-01-30
Alwar,10.07924,2018-01-31
Meerut,9.781337,2018-01-31
Rohtak,10.403823,2018-01-31
Alwar,9.3014,2018-02-01
Meerut,9.576561,2018-02-01
Rohtak,9.568753,2018-02-01
Alwar,10.133873,2018-02-02
Meerut,10.218768,2018-02-02
Rohtak,10.210981,2018-02-02
Alwar,9.487663,2018-02-03
Meerut,8.777477,2018-02-03
Rohtak,8.743697,2018-02-03
Alwar,7.5255327,2018-02-04
Meerut,7.872799,2018-02-04
Rohtak,7.4114394,2018-02-04
Alwar,6.527337,2018-02-05
Meerut,7.610458,2018-02-05
Rohtak,6.258667,2018-02-05
Alwar,10.998766,2018-02-06
Meerut,10.49525,2018-02-06
Rohtak,10.824422,2018-02-06
Alwar,7.8567986,2018-02-07
Meerut,8.080181,2018-02-07
Rohtak,7.1466002,2018-02-07
Alwar,5.6560316,2018-02-08
Meerut,5.9871974,2018-02-08
Rohtak,5.3507495,2018-02-08
Alwar,5.629548,2018-02-09
Meerut,6.2366147,2018-02-09
Rohtak,5.8553505,2018-02-09
Alwar,8.100196,2018-02-10
Meerut,6.6951737,2018-02-10
Rohtak,7.97844,2018-02-10
Alwar,11.146712,2018-02-11
Meerut,9.242872,2018-02-11
Rohtak,10.811553,2018-02-11
Alwar,12.106647,2018-02-12
Meerut,12.3516245,2018-02-12
Rohtak,12.099905,2018-02-12
Alwar,9.2632885,2018-02-13
Meerut,9.437147,2018-02-13
Rohtak,9.304,2018-02-13
Alwar,8.753162,2018-02-14
Meerut,8.516697,2018-02-14
Rohtak,8.715289,2018-02-14
Alwar,9.604997,2018-02-15
Meerut,9.522656,2018-02-15
Rohtak,9.774722,2018-02-15
Alwar,10.262373,2018-02-16
Meerut,10.227513,2018-02-16
Rohtak,10.440467,2018-02-16
Alwar,11.081168,2018-02-17
Meerut,11.318219,2018-02-17
Rohtak,11.407967,2018-02-17
Alwar,10.632435,2018-02-18
Meerut,11.037025,2018-02-18
Rohtak,10.992403,2018-02-18
Alwar,10.117423,2018-02-19
Meerut,9.17747,2018-02-19
Rohtak,9.551176,2018-02-19
Alwar,9.99389,2018-02-20
Meerut,9.9665365,2018-02-20
Rohtak,9.928512,2018-02-20
Alwar,12.781004,2018-02-21
Meerut,12.149467,2018-02-21
Rohtak,12.766549,2018-02-21
Alwar,14.167991,2018-02-22
Meerut,13.268085,2018-02-22
Rohtak,14.163094,2018-02-22
Alwar,14.802898,2018-02-23
Meerut,13.8963,2018-02-23
Rohtak,14.52631,2018-02-23
Alwar,16.378456,2018-02-24
Meerut,16.066486,2018-02-24
Rohtak,16.61156,2018-02-24
Alwar,16.241491,2018-02-25
Meerut,15.56276,2018-02-25
Rohtak,16.013039,2018-02-25
Alwar,13.411964,2018-02-26
Meerut,13.640226,2018-02-26
Rohtak,13.414568,2018-02-26
Alwar,14.6406975,2018-02-27
Meerut,14.541737,2018-02-27
Rohtak,14.673632,2018-02-27
Alwar,15.55986,2018-02-28
Meerut,14.869822,2018-02-28
Rohtak,15.588785,2018-02-28
Alwar,15.831145,2018-03-01
Meerut,14.909299,2018-03-01
Rohtak,15.433411,2018-03-01
Alwar,15.795078,2018-03-02
Meerut,15.448543,2018-03-02
Rohtak,15.147207,2018-03-02
Alwar,15.694599,2018-03-03
Meerut,15.578312,2018-03-03
Rohtak,15.706184,2018-03-03
Alwar,15.629388,2018-03-04
Meerut,15.149973,2018-03-04
Rohtak,15.588535,2018-03-04
Alwar,12.988385,2018-03-05
Meerut,12.862907,2018-03-05
Rohtak,12.7462015,2018-03-05
Alwar,13.026682,2018-03-06
Meerut,13.300833,2018-03-06
Rohtak,13.592519,2018-03-06
Alwar,12.135187,2018-03-07
Meerut,12.535185,2018-03-07
Rohtak,12.148463,2018-03-07
Alwar,12.465179,2018-03-08
Meerut,12.370874,2018-03-08
Rohtak,12.338578,2018-03-08
Alwar,14.335937,2018-03-09
Meerut,13.531836,2018-03-09
Rohtak,14.343742,2018-03-09
Alwar,15.267043,2018-03-10
Meerut,14.25084,2018-03-10
Rohtak,14.989428,2018-03-10
Alwar,14.725654,2018-03-11
Meerut,15.183468,2018-03-11
Rohtak,15.0387,2018-03-11
Alwar,14.743053,2018-03-12
Meerut,15.024969,2018-03-12
Rohtak,15.422134,2018-03-12
Alwar,15.903309,2018-03-13
Meerut,15.872658,2018-03-13
Rohtak,16.300064,2018-03-13
Alwar,17.3339,2018-03-14
Meerut,16.254425,2018-03-14
Rohtak,17.428457,2018-03-14
Alwar,17.924173,2018-03-15
Meerut,17.445494,2018-03-15
Rohtak,17.85053,2018-03-15
Alwar,16.861471,2018-03-16
Meerut,14.717421,2018-03-16
Rohtak,15.971537,2018-03-16
Alwar,14.194489,2018-03-17
Meerut,14.795393,2018-03-17
Rohtak,14.5602,2018-03-17
Alwar,13.850288,2018-03-18
Meerut,13.810441,2018-03-18
Rohtak,14.130934,2018-03-18
Alwar,16.220806,2018-03-19
Meerut,15.170877,2018-03-19
Rohtak,16.027348,2018-03-19
Alwar,16.990173,2018-03-20
Meerut,15.007184,2018-03-20
Rohtak,16.190489,2018-03-20
Alwar,18.0659,2018-03-21
Meerut,17.323656,2018-03-21
Rohtak,17.679733,2018-03-21
Alwar,15.915791,2018-03-22
Meerut,15.74519,2018-03-22
Rohtak,15.947006,2018-03-22
Alwar,15.140552,2018-03-23
Meerut,15.236168,2018-03-23
Rohtak,15.119049,2018-03-23
Alwar,15.0828,2018-03-24
Meerut,16.210533,2018-03-24
Rohtak,15.819716,2018-03-24
Alwar,15.561009,2018-03-25
Meerut,16.991009,2018-03-25
Rohtak,16.369917,2018-03-25
Alwar,15.095354,2018-03-26
Meerut,15.94971,2018-03-26
Rohtak,15.446886,2018-03-26
Alwar,15.247282,2018-03-27
Meerut,16.52492,2018-03-27
Rohtak,15.562732,2018-03-27
Alwar,16.712454,2018-03-28
Meerut,16.628113,2018-03-28
Rohtak,16.402937,2018-03-28
Alwar,16.629658,2018-03-29
Meerut,17.88988,2018-03-29
Rohtak,17.267185,2018-03-29
Alwar,17.865664,2018-03-30
Meerut,18.012032,2018-03-30
Rohtak,18.233442,2018-03-30
Alwar,17.102085,2018-03-31
Meerut,18.303818,2018-03-31
Rohtak,18.178553,2018-03-31
Alwar,18.143366,2018-04-01
Meerut,18.994734,2018-04-01
Rohtak,18.502714,2018-04-01
Alwar,19.3388,2018-04-02
Meerut,19.212852,2018-04-02
Rohtak,19.430468,2018-04-02
Alwar,20.826939,2018-04-03
Meerut,20.710627,2018-04-03
Rohtak,20.778837,2018-04-03
Alwar,21.910032,2018-04-04
Meerut,21.1002,2018-04-04
Rohtak,21.880127,2018-04-04
Alwar,22.327354,2018-04-05
Meerut,21.401,2018-04-05
Rohtak,22.022337,2018-04-05
Alwar,21.52325,2018-04-06
Meerut,21.19452,2018-04-06
Rohtak,21.499838,2018-04-06
Alwar,17.989172,2018-04-07
Meerut,18.705135,2018-04-07
Rohtak,18.398552,2018-04-07
Alwar,21.609564,2018-04-08
Meerut,21.35712,2018-04-08
Rohtak,22.214924,2018-04-08
Alwar,22.010572,2018-04-09
Meerut,21.03246,2018-04-09
Rohtak,21.720425,2018-04-09
Alwar,21.594275,2018-04-10
Meerut,21.086681,2018-04-10
Rohtak,21.763327,2018-04-10
Alwar,21.187305,2018-04-11
Meerut,20.570536,2018-04-11
Rohtak,21.110292,2018-04-11
Alwar,18.137209,2018-04-12
Meerut,17.890934,2018-04-12
Rohtak,18.54174,2018-04-12
Alwar,18.097912,2018-04-13
Meerut,17.378038,2018-04-13
Rohtak,17.490917,2018-04-13
Alwar,19.047125,2018-04-14
Meerut,18.353853,2018-04-14
Rohtak,19.015995,2018-04-14
Alwar,20.867373,2018-04-15
Meerut,20.999126,2018-04-15
Rohtak,20.876417,2018-04-15
Alwar,23.296877,2018-04-16
Meerut,22.312332,2018-04-16
Rohtak,23.039726,2018-04-16
Alwar,23.117033,2018-04-17
Meerut,22.716024,2018-04-17
Rohtak,22.733341,2018-04-17
Alwar,21.405766,2018-04-18
Meerut,21.52388,2018-04-18
Rohtak,21.61607,2018-04-18
Alwar,21.08927,2018-04-19
Meerut,21.614271,2018-04-19
Rohtak,21.563839,2018-04-19
Alwar,23.128992,2018-04-20
Meerut,22.918587,2018-04-20
Rohtak,23.076977,2018-04-20
Alwar,19.827505,2018-04-21
Meerut,20.216148,2018-04-21
Rohtak,19.579512,2018-04-21
Alwar,18.807013,2018-04-22
Meerut,19.653597,2018-04-22
Rohtak,18.780243,2018-04-22
Alwar,18.494984,2018-04-23
Meerut,19.55195,2018-04-23
Rohtak,19.100021,2018-04-23
Alwar,18.182331,2018-04-24
Meerut,19.629976,2018-04-24
Rohtak,19.139729,2018-04-24
Alwar,19.409256,2018-04-25
Meerut,20.493906,2018-04-25
Rohtak,20.532019,2018-04-25
Alwar,23.357653,2018-04-26
Meerut,23.424395,2018-04-26
Rohtak,23.669773,2018-04-26
Alwar,23.745646,2018-04-27
Meerut,23.989239,2018-04-27
Rohtak,24.085659,2018-04-27
Alwar,26.05454,2018-04-28
Meerut,25.90802,2018-04-28
Rohtak,26.12637,2018-04-28
Alwar,25.249752,2018-04-29
Meerut,24.84643,2018-04-29
Rohtak,25.21688,2018-04-29
Alwar,24.396252,2018-04-30
Meerut,24.136408,2018-04-30
Rohtak,25.088514,2018-04-30
Alwar,25.12762,2018-05-01
Meerut,24.912325,2018-05-01
Rohtak,25.730585,2018-05-01
Alwar,25.512194,2018-05-02
Meerut,25.777115,2018-05-02
Rohtak,26.242563,2018-05-02
Alwar,21.674849,2018-05-03
Meerut,20.564884,2018-05-03
Rohtak,21.510937,2018-05-03
Alwar,23.513884,2018-05-04
Meerut,23.75965,2018-05-04
Rohtak,24.458197,2018-05-04
Alwar,25.162483,2018-05-05
Meerut,24.551146,2018-05-05
Rohtak,25.469017,2018-05-05
Alwar,26.205841,2018-05-06
Meerut,25.550343,2018-05-06
Rohtak,26.868935,2018-05-06
Alwar,23.38336,2018-05-07
Meerut,22.926079,2018-05-07
Rohtak,23.650026,2018-05-07
Alwar,20.930408,2018-05-08
Meerut,22.963892,2018-05-08
Rohtak,21.800772,2018-05-08
Alwar,21.41871,2018-05-09
Meerut,20.589495,2018-05-09
Rohtak,20.811152,2018-05-09
Alwar,22.031553,2018-05-10
Meerut,20.993114,2018-05-10
Rohtak,21.780148,2018-05-10
Alwar,24.156094,2018-05-11
Meerut,23.221655,2018-05-11
Rohtak,24.010136,2018-05-11
Alwar,26.11636,2018-05-12
Meerut,25.458847,2018-05-12
Rohtak,26.359707,2018-05-12
Alwar,26.375244,2018-05-13
Meerut,26.25136,2018-05-13
Rohtak,25.888489,2018-05-13
Alwar,23.374815,2018-05-14
Meerut,22.152466,2018-05-14
Rohtak,22.79495,2018-05-14
Alwar,25.317747,2018-05-15
Meerut,24.48672,2018-05-15
Rohtak,25.624496,2018-05-15
Alwar,24.810066,2018-05-16
Meerut,24.950775,2018-05-16
Rohtak,24.782951,2018-05-16
Alwar,24.827755,2018-05-17
Meerut,24.657366,2018-05-17
Rohtak,24.84675,2018-05-17
Alwar,24.896948,2018-05-18
Meerut,26.642982,2018-05-18
Rohtak,25.761124,2018-05-18
Alwar,26.054008,2018-05-19
Meerut,25.653872,2018-05-19
Rohtak,26.268913,2018-05-19
Alwar,24.981903,2018-05-20
Meerut,25.394518,2018-05-20
Rohtak,25.868116,2018-05-20
Alwar,25.45819,2018-05-21
Meerut,24.519657,2018-05-21
Rohtak,25.171528,2018-05-21
Alwar,25.676077,2018-05-22
Meerut,26.20737,2018-05-22
Rohtak,26.408382,2018-05-22
Alwar,26.27047,2018-05-23
Meerut,26.429909,2018-05-23
Rohtak,26.711668,2018-05-23
Alwar,26.989664,2018-05-24
Meerut,25.836374,2018-05-24
Rohtak,26.609444,2018-05-24
Alwar,24.520552,2018-05-25
Meerut,24.05626,2018-05-25
Rohtak,24.35222,2018-05-25
Alwar,25.170464,2018-05-26
Meerut,24.951914,2018-05-26
Rohtak,25.411337,2018-05-26
Alwar,25.425663,2018-05-27
Meerut,26.829834,2018-05-27
Rohtak,26.508854,2018-05-27
Alwar,25.441938,2018-05-28
Meerut,25.90334,2018-05-28
Rohtak,26.090765,2018-05-28
Alwar,25.46425,2018-05-29
Meerut,25.932238,2018-05-29
Rohtak,25.63928,2018-05-29
Alwar,29.615969,2018-05-30
Meerut,27.705109,2018-05-30
Rohtak,29.565298,2018-05-30
Alwar,26.046896,2018-05-31
Meerut,27.83162,2018-05-31
Rohtak,27.532543,2018-05-31
Alwar,28.967985,2018-06-01
Meerut,28.878153,2018-06-01
Rohtak,29.554316,2018-06-01
Alwar,27.20351,2018-06-02
Meerut,23.952757,2018-06-02
Rohtak,26.295677,2018-06-02
Alwar,28.452618,2018-06-03
Meerut,26.823265,2018-06-03
Rohtak,28.482525,2018-06-03
Alwar,29.656351,2018-06-04
Meerut,28.486084,2018-06-04
Rohtak,29.69934,2018-06-04
Alwar,30.923706,2018-06-05
Meerut,30.561417,2018-06-05
Rohtak,31.39525,2018-06-05
Alwar,27.64306,2018-06-06
Meerut,26.692415,2018-06-06
Rohtak,26.809278,2018-06-06
Alwar,28.557243,2018-06-07
Meerut,27.854748,2018-06-07
Rohtak,28.358774,2018-06-07
Alwar,30.717712,2018-06-08
Meerut,30.337997,2018-06-08
Rohtak,31.211342,2018-06-08
Alwar,27.912424,2018-06-09
Meerut,28.04603,2018-06-09
Rohtak,27.48533,2018-06-09
Alwar,23.999622,2018-06-10
Meerut,25.898495,2018-06-10
Rohtak,24.804821,2018-06-10
Alwar,26.337873,2018-06-11
Meerut,27.441814,2018-06-11
Rohtak,27.070879,2018-06-11
Alwar,28.781595,2018-06-12
Meerut,28.80365,2018-06-12
Rohtak,28.967354,2018-06-12
Alwar,30.833536,2018-06-13
Meerut,31.21741,2018-06-13
Rohtak,31.12701,2018-06-13
Alwar,29.387794,2018-06-14
Meerut,31.522669,2018-06-14
Rohtak,30.94764,2018-06-14
Alwar,29.223124,2018-06-15
Meerut,30.24607,2018-06-15
Rohtak,30.678215,2018-06-15
Alwar,29.284508,2018-06-16
Meerut,28.194656,2018-06-16
Rohtak,28.844397,2018-06-16
Alwar,28.93895,2018-06-17
Meerut,26.517076,2018-06-17
Rohtak,27.807936,2018-06-17
Alwar,26.054783,2018-06-18
Meerut,25.567192,2018-06-18
Rohtak,25.517075,2018-06-18
Alwar,26.221838,2018-06-19
Meerut,25.5559,2018-06-19
Rohtak,26.00685,2018-06-19
Alwar,27.723536,2018-06-20
Meerut,27.945889,2018-06-20
Rohtak,27.85301,2018-06-20
Alwar,29.292479,2018-06-21
Meerut,29.12475,2018-06-21
Rohtak,29.443232,2018-06-21
Alwar,29.160019,2018-06-22
Meerut,28.507519,2018-06-22
Rohtak,28.653206,2018-06-22
Alwar,30.028284,2018-06-23
Meerut,29.593468,2018-06-23
Rohtak,30.06339,2018-06-23
Alwar,29.725935,2018-06-24
Meerut,29.474588,2018-06-24
Rohtak,29.520378,2018-06-24
Alwar,28.859205,2018-06-25
Meerut,30.099598,2018-06-25
Rohtak,29.296083,2018-06-25
Alwar,26.149883,2018-06-26
Meerut,27.228777,2018-06-26
Rohtak,26.271029,2018-06-26
Alwar,24.377403,2018-06-27
Meerut,26.013916,2018-06-27
Rohtak,25.482721,2018-06-27
Alwar,23.820732,2018-06-28
Meerut,24.809418,2018-06-28
Rohtak,24.410482,2018-06-28
Alwar,24.924618,2018-06-29
Meerut,26.356958,2018-06-29
Rohtak,25.487429,2018-06-29
Alwar,25.104593,2018-06-30
Meerut,27.134266,2018-06-30
Rohtak,26.470493,2018-06-30
Alwar,27.020842,2018-07-01
Meerut,27.782051,2018-07-01
Rohtak,27.661217,2018-07-01
Alwar,26.352884,2018-07-02
Meerut,27.321394,2018-07-02
Rohtak,27.926714,2018-07-02
Alwar,26.861454,2018-07-03
Meerut,25.426388,2018-07-03
Rohtak,26.582632,2018-07-03
Alwar,25.897146,2018-07-04
Meerut,24.824255,2018-07-04
Rohtak,25.35968,2018-07-04
Alwar,26.902124,2018-07-05
Meerut,26.756424,2018-07-05
Rohtak,27.428648,2018-07-05
Alwar,26.691334,2018-07-06
Meerut,26.433167,2018-07-06
Rohtak,27.182932,2018-07-06
Alwar,27.471903,2018-07-07
Meerut,27.794312,2018-07-07
Rohtak,28.251791,2018-07-07
Alwar,28.008814,2018-07-08
Meerut,28.741854,2018-07-08
Rohtak,28.662884,2018-07-08
Alwar,29.681726,2018-07-09
Meerut,29.335608,2018-07-09
Rohtak,30.208284,2018-07-09
Alwar,28.896873,2018-07-10
Meerut,28.664938,2018-07-10
Rohtak,29.416668,2018-07-10
Alwar,27.486528,2018-07-11
Meerut,28.253744,2018-07-11
Rohtak,27.725548,2018-07-11
Alwar,26.05952,2018-07-12
Meerut,27.134003,2018-07-12
Rohtak,27.097607,2018-07-12
Alwar,25.071394,2018-07-13
Meerut,27.091051,2018-07-13
Rohtak,26.199646,2018-07-13
Alwar,25.37365,2018-07-14
Meerut,25.579714,2018-07-14
Rohtak,25.694828,2018-07-14
