" Code","Sampling Date",State,City/Town/Village/Area,"Location of Monitoring Station",Agency,"Type of Location",SO2,NO2,RSPM/PM10,"PM 2.5"
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",3.1,23.6,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",17.9,42.2,NA,NA
NA,2004-08-01T06:50:12Z,Delhi,Delhi,"Nizamuddin, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",NA,NA,93,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",15,37.2,NA,NA
NA,NA,Delhi,Delhi,"Nizamuddin, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,47,182,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",10.2,28.1,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",19.1,40.7,NA,NA
NA,2011-12-01T06:50:53Z,Delhi,Delhi,"Pritampura, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",5,52,193,NA
NA,2004-01-13T06:50:12Z,Delhi,Delhi,"Nizamuddin, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",NA,NA,125.33,NA
NA,2005-01-14T05:23:43Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",15.9,58.1,217,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",26.7,48,NA,NA
NA,2014-09-01T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,44,402,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",13,27.4,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",16.1,36.8,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",17.8,26.7,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",17.1,37.8,NA,NA
NA,NA,Delhi,Delhi,NA,NA,"Industrial Area",48.7,41.2,NA,NA
NA,1988-02-08T11:42:27Z,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",NA,NA,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",17.7,35.1,NA,NA
NA,2007-02-16T11:46:45Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",15.4,55.5,200,NA
NA,2013-05-01T02:31:56Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",4,68,280,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",8.5,22.6,NA,NA
NA,1987-03-09T11:51:24Z,Delhi,Delhi,NA,"Central Pollution Control Board",Industrial,25.8,10.4,NA,NA
NA,2003-09-01T06:08:54Z,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",12,42,190,NA
NA,2006-01-17T05:38:18Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",21.4,67.6,310,NA
NA,2008-08-01T06:50:32Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",32.4,115,323,NA
NA,NA,Delhi,Delhi,NA,NA,"Residential, Rural and other Areas",19.1,77.9,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",3.8,9.7,NA,NA
NA,2012-01-14T11:38:19Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",7,99,296,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",18.8,38.5,NA,NA
NA,2009-01-15T11:51:42Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",16.7,89.3,426,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",11.6,28,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",13.4,39.4,NA,NA
NA,2006-01-18T05:38:18Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",13.4,49,280,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",16.5,22.3,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",17.7,36.4,NA,NA
NA,2008-09-01T06:50:32Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",16.2,114.4,267,NA
NA,2009-01-20T11:51:42Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",9.7,49,194,NA
NA,2005-01-15T05:23:43Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",17.5,77.8,246,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",17.3,40.1,NA,NA
NA,2012-01-15T11:38:19Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",8,101,169,NA
NA,2003-01-14T06:08:54Z,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",14,41,187,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",20.8,24.9,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",14.9,31.4,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",16.3,39.8,NA,NA
