" Code","Sampling Date",State,City/Town/Village/Area,"Location of Monitoring Station",Agency,"Type of Location",SO2,NO2,RSPM/PM10,"PM 2.5"
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",5.3,17.3,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",23.5,44.9,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",20.5,48.6,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",19.1,26.5,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",23,45.1,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",6.9,16.2,NA,NA
NA,2009-03-26T11:51:42Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",15.7,62.7,167,NA
NA,1987-01-12T11:51:24Z,Delhi,Delhi,NA,"Central Pollution Control Board",Industrial,12.9,22.1,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",13.2,23.5,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",17.7,41.9,NA,NA
NA,1988-02-12T11:42:27Z,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",NA,NA,NA,NA
NA,2006-03-25T05:38:18Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",15.8,41.3,215,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",23.5,43.1,NA,NA
NA,NA,Delhi,Delhi,NA,NA,"Residential, Rural and other Areas",29.2,38.1,NA,NA
NA,2014-04-15T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,42,334,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",3.8,20.1,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",4.6,43.3,NA,NA
NA,NA,Delhi,Delhi,"Nizamuddin, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,43,228,58
NA,2013-03-19T02:31:56Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",3,95,149,NA
NA,2011-11-04T06:50:53Z,Delhi,Delhi,"Pritampura, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,48,343,NA
NA,2004-05-04T06:50:12Z,Delhi,Delhi,"Nizamuddin, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",NA,NA,124.33,NA
NA,2012-03-22T11:38:19Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",7,59,205,NA
NA,2003-08-04T06:08:54Z,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",16,44,84,NA
NA,2007-05-19T11:46:45Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",11.1,47,117,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",19.3,42.6,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",9.2,31.2,NA,NA
NA,2009-03-27T11:51:42Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",14.5,67.5,243,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",19.9,24.5,NA,NA
NA,2005-03-22T05:23:43Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",15.3,64.3,139,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",18.5,25.4,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",15.7,28.6,NA,NA
NA,2008-03-26T06:50:32Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",24.3,58,282,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",17.3,39,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",17.3,38.7,NA,NA
NA,1987-03-12T11:51:24Z,Delhi,Delhi,NA,"Central Pollution Control Board",Industrial,60.4,35.4,NA,NA
NA,NA,Delhi,Delhi,"Nizamuddin, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,45,229,77
NA,2014-04-21T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,41,130,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",16,26.3,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",21.7,27.3,NA,NA
NA,NA,Delhi,Delhi,NA,NA,"Industrial Area",31.6,42.1,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",7.8,22.7,NA,NA
NA,2003-04-21T06:08:54Z,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",11,39,97,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",19.3,26.6,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",30.1,49.8,NA,NA
NA,2011-04-18T06:50:53Z,Delhi,Delhi,"Pritampura, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,36,164,NA
NA,2009-03-28T11:51:42Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",6,70.3,255,NA
NA,1988-03-12T11:42:27Z,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",NA,NA,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",12.5,24,NA,NA
NA,2013-03-20T02:31:56Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",3,81,154,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",15.7,29.3,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",17.1,26.3,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",5,15,NA,NA
NA,1987-01-12T11:51:24Z,Delhi,Delhi,NA,"Central Pollution Control Board",Industrial,3.7,20.7,NA,NA
NA,2007-05-29T11:46:45Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",12.8,44.6,102,NA
NA,2012-03-24T11:38:19Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",4,76,193,NA
NA,NA,Delhi,Delhi,NA,NA,"Industrial Area",46.8,24.2,NA,NA
NA,2005-03-29T05:23:43Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",16,45.9,169,NA
NA,2006-03-28T05:38:18Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",12.1,27.1,206,NA
NA,2004-08-04T06:50:12Z,Delhi,Delhi,"Nizamuddin, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",NA,NA,187.33,NA
NA,2008-03-28T06:50:32Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",23.4,82.3,236,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",7.1,25.2,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",17.1,32.9,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",15.4,21.5,NA,NA
NA,2011-04-21T06:50:53Z,Delhi,Delhi,"Pritampura, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,44,208,NA
NA,2008-03-29T06:50:32Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",32,104.2,243,NA
NA,2012-03-25T11:38:19Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",2,90,143,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",14.3,26.6,NA,NA
NA,2007-05-30T11:46:45Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",16.5,80.4,138,NA
NA,2003-04-24T06:08:54Z,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",15,52,131,NA
NA,NA,Delhi,Delhi,"Nizamuddin, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,38,219,53
NA,2005-03-30T05:23:43Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",18.3,20,150,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",9.2,33,NA,NA
NA,2013-03-21T02:31:56Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",2,52,132,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",14.3,31.7,NA,NA
NA,NA,Delhi,Delhi,NA,NA,"Residential, Rural and other Areas",67.5,43,NA,NA
NA,2006-03-29T05:38:18Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",14.6,28.9,207,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",18.4,30.5,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",57.9,34.8,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",18.5,37.4,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",19.2,33.2,NA,NA
NA,NA,Delhi,Delhi,NA,NA,"Residential, Rural and other Areas",26.4,28,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",12.6,29.1,NA,NA
NA,2009-03-29T11:51:42Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",5.3,41.7,186,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",18.6,22.9,NA,NA
NA,2004-04-15T06:50:12Z,Delhi,Delhi,"Nizamuddin, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",NA,NA,196.67,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",16.8,25.2,NA,NA
NA,2014-04-24T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,50,163,NA
NA,1987-03-12T11:51:24Z,Delhi,Delhi,NA,"Central Pollution Control Board",Industrial,14.2,30.6,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",16.8,25,NA,NA
NA,2006-01-04T05:38:18Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",16.2,51.5,208,NA
NA,NA,Delhi,Delhi,NA,NA,"Residential, Rural and other Areas",19.4,38,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",37.4,40.2,NA,NA
NA,2011-04-27T06:50:53Z,Delhi,Delhi,"Pritampura, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,38,276,NA
NA,2007-01-08T11:46:45Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",NA,51.7,44,NA
NA,2004-04-20T06:50:12Z,Delhi,Delhi,"Nizamuddin, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",NA,NA,153,NA
NA,NA,Delhi,Delhi,"Nizamuddin, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,39,209,29
NA,2013-02-04T02:31:56Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",2,56,86,NA
NA,NA,Delhi,Delhi,NA,NA,"Residential, Rural and other Areas",9.5,45.4,NA,NA
NA,2005-08-04T05:23:43Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",24.7,37.7,395,NA
NA,2012-03-04T11:38:19Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",4,94,184,NA
NA,NA,Delhi,Delhi,NA,NA,"Residential, Rural and other Areas",10,56.7,NA,NA
NA,2009-01-04T11:51:42Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",11.2,51.8,352,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",16.5,39.7,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",16.8,43.1,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",20.2,23.4,NA,NA
NA,NA,Delhi,Delhi,NA,NA,"Industrial Area",39.7,38.8,NA,NA
NA,NA,Delhi,Delhi,NA,NA,"Industrial Area",14.5,32.5,NA,NA
NA,2008-12-04T06:50:32Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",19.9,89.6,288,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",16.1,24.8,NA,NA
NA,2014-04-29T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,44,137,NA
NA,2003-04-29T06:08:54Z,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",16,51,133,NA
NA,NA,Delhi,Delhi,NA,NA,"Residential, Rural and other Areas",8.2,15.8,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",8.7,35.8,NA,NA
NA,2009-02-04T11:51:42Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",19.2,60.5,261,NA
NA,2012-04-04T11:38:19Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",2,107,115,NA
NA,2004-04-23T06:50:12Z,Delhi,Delhi,"Nizamuddin, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",NA,NA,93,NA
NA,2005-09-04T05:23:43Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",20.2,42.2,338,NA
NA,NA,Delhi,Delhi,NA,NA,"Residential, Rural and other Areas",40,45.5,NA,NA
NA,NA,Delhi,Delhi,NA,NA,"Residential, Rural and other Areas",12.1,41.7,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",9.7,17.1,NA,NA
NA,2011-03-05T06:50:53Z,Delhi,Delhi,"Pritampura, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,38,296,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",6.4,26,NA,NA
NA,NA,Delhi,Delhi,NA,NA,"Industrial Area",7.1,7.4,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",17.7,28.5,NA,NA
NA,NA,Delhi,Delhi,NA,NA,"Industrial Area",56,56.5,NA,NA
NA,2003-05-05T06:08:54Z,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",12,40,131,NA
NA,2014-05-05T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,45,257,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",20.5,45.7,NA,NA
NA,NA,Delhi,Delhi,NA,NA,"Industrial Area",15.7,51.2,NA,NA
NA,NA,Delhi,Delhi,NA,NA,"Industrial Area",16.3,44.3,NA,NA
NA,2006-02-04T05:38:18Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",19.7,38.9,171,NA
NA,2013-03-04T02:31:56Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",3,72,154,NA
NA,NA,Delhi,Delhi,"Nizamuddin, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,46,121,89
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",28,33.1,NA,NA
NA,2008-04-13T06:50:32Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",19.8,93.3,292,NA
NA,2007-02-08T11:46:45Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",3,60.4,57,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",3.9,37.8,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",19,39,NA,NA
NA,2014-08-05T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,39,210,NA
NA,NA,Delhi,Delhi,NA,NA,"Residential, Rural and other Areas",17.2,39.9,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",16.2,29.3,NA,NA
NA,2008-04-14T06:50:32Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",24.6,71.1,266,NA
NA,2012-05-04T11:38:19Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",3,96,109,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",10.3,33.6,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",11,31.7,NA,NA
NA,2003-08-05T06:08:54Z,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",13,49,156,NA
NA,NA,Delhi,Delhi,NA,NA,"Residential, Rural and other Areas",22.1,56.3,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",17.5,36,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",17.4,37.2,NA,NA
NA,2004-04-28T06:50:12Z,Delhi,Delhi,"Nizamuddin, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",NA,NA,98,NA
NA,NA,Delhi,Delhi,NA,NA,"Residential, Rural and other Areas",22.2,49.7,NA,NA
NA,NA,Delhi,Delhi,NA,NA,"Residential, Rural and other Areas",15.4,33.1,NA,NA
NA,NA,Delhi,Delhi,NA,NA,"Residential, Rural and other Areas",8.4,36.9,NA,NA
NA,2009-03-04T11:51:42Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",14.2,47.5,341,NA
NA,2011-06-05T06:50:53Z,Delhi,Delhi,"Pritampura, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,36,209,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",25.2,43.2,NA,NA
NA,2013-04-04T02:31:56Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",2,55,140,NA
NA,NA,Delhi,Delhi,"Nizamuddin, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,44,156,91
NA,NA,Delhi,Delhi,NA,NA,"Residential, Rural and other Areas",33.5,40.8,NA,NA
NA,2006-10-04T05:38:18Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",11.3,36.9,191,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",13.6,31.3,NA,NA
NA,2005-04-15T05:23:43Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",21.8,58.3,220,NA
NA,2007-07-08T11:46:45Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",NA,48,97,NA
NA,2014-05-13T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,33,146,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",14,22.2,NA,NA
NA,2012-10-04T11:38:19Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",3,88,190,NA
NA,2005-04-16T05:23:43Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",19,41.5,218,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",4.2,36,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",19.3,29.5,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",30.6,37.6,NA,NA
NA,2008-04-17T06:50:32Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",23.3,91.1,240,NA
NA,2009-07-04T11:51:42Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",4,39.3,352,NA
NA,NA,Delhi,Delhi,"Nizamuddin, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,46,132,97
NA,2011-11-05T06:50:53Z,Delhi,Delhi,"Pritampura, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,35,220,NA
NA,2004-06-05T06:50:12Z,Delhi,Delhi,"Nizamuddin, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",NA,NA,254.67,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",16.4,33.8,NA,NA
NA,2006-11-04T05:38:18Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",15.2,35,190,NA
NA,NA,Delhi,Delhi,NA,NA,"Industrial Area",8.3,44.3,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",17.1,38.3,NA,NA
NA,2013-09-04T02:31:56Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",5,80,204,NA
NA,2007-08-08T11:46:45Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",2.6,45.1,61,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",3.7,24.9,NA,NA
NA,2003-05-13T06:08:54Z,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",11,47,170,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",15.4,39.3,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",13.5,18.8,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",16,27.3,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",10.1,31.9,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",16.4,27.4,NA,NA
NA,2013-10-04T02:31:56Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",9,85,151,NA
NA,2009-08-04T11:51:42Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",3.3,31.2,217,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",17.4,37.6,NA,NA
NA,2004-12-05T06:50:12Z,Delhi,Delhi,"Nizamuddin, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",NA,NA,260,NA
NA,2014-05-19T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,36,146,NA
NA,2005-04-22T05:23:43Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",23.8,77.3,210,NA
NA,2006-04-21T05:38:18Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",18.9,61.9,299,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",20.4,32.9,NA,NA
NA,2008-04-18T06:50:32Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",23.6,85.4,251,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",12,30,NA,NA
NA,NA,Delhi,Delhi,NA,NA,"Residential, Rural and other Areas",15.9,124.8,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",24.9,47.5,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",10.7,34.5,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",35.1,48.3,NA,NA
NA,2012-11-04T11:38:19Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",4,79,73,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",3.6,31.6,NA,NA
NA,2003-05-20T06:08:54Z,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",12,42,186,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",5,28.5,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",11.5,25.3,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",9.9,17.5,NA,NA
NA,2011-05-16T06:50:53Z,Delhi,Delhi,"Pritampura, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,39,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",28.1,47.9,NA,NA
NA,NA,Delhi,Delhi,"Nizamuddin, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,47,123,61
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",14.8,30.6,NA,NA
NA,2007-08-17T11:46:45Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",NA,35,150,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",16.1,35.6,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",11.1,26.1,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",15.6,34.1,NA,NA
NA,2006-04-22T05:38:18Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",15.1,39.6,368,NA
NA,2007-08-18T11:46:45Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",NA,38.2,107,NA
NA,NA,Delhi,Delhi,NA,NA,"Residential, Rural and other Areas",9,55.9,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",13.1,28.4,NA,NA
NA,2004-05-17T06:50:12Z,Delhi,Delhi,"Nizamuddin, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",NA,NA,178,NA
NA,2013-11-04T02:31:56Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",5,71,192,NA
NA,2014-05-22T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,43,109,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",22.7,31,NA,NA
NA,2011-05-20T06:50:53Z,Delhi,Delhi,"Pritampura, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,40,257,NA
NA,2012-04-26T11:38:19Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",3,66,124,NA
