DISTRICT_NAME,TIME,RAINFALL
Alwar,2020-06-10,0.08003877741949898
Alwar,2020-06-11,0.18991829454898834
Alwar,2020-06-12,0.0
Alwar,2020-06-13,1.0687012587274825
Alwar,2020-06-14,7.175992829459054
Alwar,2020-06-15,0.0681202667100089
Alwar,2020-06-16,0.0
Alwar,2020-06-17,0.0
Alwar,2020-06-18,0.0
Alwar,2020-06-19,0.0
Alwar,2020-06-20,1.1775398765291487
Alwar,2020-06-21,7.780672954661505
Alwar,2020-06-22,2.7541375500815257
Alwar,2020-06-23,0.0
Alwar,2020-06-24,0.05521985462733677
Alwar,2020-06-25,1.2560128910200936
Alwar,2020-06-26,1.8561928612845284
Alwar,2020-06-27,0.9115940055676869
Alwar,2020-06-28,0.0
Alwar,2020-06-29,0.2208794185093471
Alwar,2020-06-30,2.9486610932009563
Alwar,2020-07-01,0.10075715609959193
Alwar,2020-07-02,0.0
Alwar,2020-07-03,0.0
Alwar,2020-07-04,3.755549575601305
Alwar,2020-07-05,10.02789083974702
Alwar,2020-07-06,0.0
Alwar,2020-07-07,0.0
Alwar,2020-07-08,0.5571468898228237
Alwar,2020-07-09,17.222608234201157
Alwar,2020-07-10,1.4421058893203735
Alwar,2020-07-11,0.26314960207257954
Alwar,2020-07-12,0.0
Alwar,2020-07-13,0.09470794882093157
Alwar,2020-07-14,0.779369694846017
Alwar,2020-07-15,0.4032432351793562
Alwar,2020-07-16,0.0
Alwar,2020-07-17,1.9384534869875227
Alwar,2020-07-18,6.113476983138493
Alwar,2020-07-19,0.6790583772318703
Alwar,2020-07-20,3.0412513656275615
Alwar,2020-07-21,2.868511736392975
Alwar,2020-07-22,3.5530821766172136
Alwar,2020-07-23,5.46543921317373
Alwar,2020-07-24,0.0
Alwar,2020-07-25,5.369634594236102
Alwar,2020-07-26,1.5284889893872398
Alwar,2020-07-27,0.30445878420557293
Alwar,2020-07-28,2.4942431449890137
Alwar,2020-07-29,0.7340902600969587
Alwar,2020-07-30,18.76640932900565
Alwar,2020-07-31,1.32878463608878
Alwar,2020-08-01,1.6270844510623388
Alwar,2020-08-02,21.336588297571456
Alwar,2020-08-03,15.293466542448316
Alwar,2020-08-04,9.913239083119802
Alwar,2020-08-05,0.01467266891683851
Alwar,2020-08-06,3.494131718363081
Alwar,2020-08-07,6.093642933028085
Alwar,2020-08-08,2.1782651969364712
Alwar,2020-08-09,0.6463742937360492
Alwar,2020-08-10,7.404364662511008
Alwar,2020-08-11,11.328176668712072
Alwar,2020-08-12,3.4091674770627702
Alwar,2020-08-13,26.611619472503662
Alwar,2020-08-14,6.7179151603153775
Alwar,2020-08-15,9.753741536821638
Alwar,2020-08-16,2.216172844171524
Alwar,2020-08-17,4.500671591077532
Alwar,2020-08-18,1.7963026251111711
Alwar,2020-08-19,7.713893158095224
Alwar,2020-08-20,17.383770738329208
Alwar,2020-08-21,30.84200014386858
Alwar,2020-08-22,0.5045998905386243
Alwar,2020-08-23,2.607822733266013
Alwar,2020-08-24,2.2094151569264278
Alwar,2020-08-25,2.4306101437125887
Alwar,2020-08-26,1.6081339312451226
Alwar,2020-08-27,0.0
Alwar,2020-08-28,4.798778069870813
Alwar,2020-08-29,10.48730400630406
Alwar,2020-08-30,4.367940987859454
Alwar,2020-08-31,5.611296032156263
Alwar,2020-09-01,0.0
Alwar,2020-09-02,0.0
Alwar,2020-09-03,0.19948264530726842
Alwar,2020-09-04,1.4647073554141181
Alwar,2020-09-05,10.955997679914747
Alwar,2020-09-06,3.5280516403062
Alwar,2020-09-07,0.0
Alwar,2020-09-08,21.004280022212438
Alwar,2020-09-09,2.6911791265010834
Alwar,2020-09-10,0.0
Alwar,2020-09-11,0.0
Alwar,2020-09-12,0.0
Alwar,2020-09-13,0.0
Alwar,2020-09-14,0.0
Alwar,2020-09-15,0.0
Alwar,2020-09-16,0.0
Alwar,2020-09-17,0.0
Alwar,2020-09-18,0.0
Alwar,2020-09-19,0.0
Alwar,2020-09-20,0.22596085923058645
Alwar,2020-09-21,0.0
Alwar,2020-09-22,1.1300238881792342
Alwar,2020-09-23,0.5050161566053119
Alwar,2020-09-24,0.06838469845908028
Alwar,2020-09-25,0.0
Alwar,2020-09-26,0.0
Alwar,2020-09-27,2.374049608196531
Alwar,2020-09-28,0.5138632569994245
Alwar,2020-09-29,0.0
Alwar,2020-09-30,0.0
Alwar,2020-10-01,0.0
Alwar,2020-10-02,0.0
Alwar,2020-10-03,0.0
Alwar,2020-10-04,0.0
Alwar,2020-10-05,0.0
Alwar,2020-10-06,0.0
Alwar,2020-10-07,0.0
Alwar,2020-10-08,0.0
Alwar,2020-10-09,0.0
Alwar,2020-10-10,0.0
Alwar,2020-10-11,0.0
Alwar,2020-10-12,0.0
Alwar,2020-10-13,0.0
Alwar,2020-10-14,0.0
Alwar,2020-10-15,0.0
Alwar,2020-10-16,0.0
Alwar,2020-10-17,0.0
Alwar,2020-10-18,0.0
Alwar,2020-10-19,0.0
Alwar,2020-10-20,0.0
Alwar,2020-10-21,0.0
Alwar,2020-10-22,0.0
Alwar,2020-10-23,0.0
Alwar,2020-10-24,0.0
Alwar,2020-10-25,0.0
Alwar,2020-10-26,0.0
Alwar,2020-10-27,0.0
Alwar,2020-10-28,0.0
Alwar,2020-10-29,0.0
Alwar,2020-10-30,0.0
Alwar,2020-10-31,0.0
Alwar,2020-11-01,0.0
Alwar,2020-11-02,0.0
Alwar,2020-11-03,0.0
Alwar,2020-11-04,0.0
Alwar,2020-11-05,0.0
Alwar,2020-11-06,0.0
Alwar,2020-11-07,0.0
Alwar,2020-11-08,0.0
Alwar,2020-11-09,0.0
Alwar,2020-11-10,0.0
Alwar,2020-11-11,0.0
