State,State Code,District Code,Sub District Code,Level,Area_Name,Type,Number of villages,Unnamed: 7,Number of towns,Number of households,Population,Unnamed: 11,Unnamed: 12,Area_sq_km,Pop_Density,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85
Haryana,6.0,84.0,411.0,SUB-DISTRICT,Mahendragarh,Total,149,0,2,"77,111",404381.0,"2,12,891","1,91,490",976.66,414.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,6.0,84.0,411.0,SUB-DISTRICT,Mahendragarh,Urban,0,0,2,"7,795",42117.0,"22,124","19,993",12.96,3250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,6.0,87.0,422.0,SUB-DISTRICT,Nuh,Rural,103,15,0,"38,714",265114.0,"1,39,678","1,25,436",455.02,583.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,6.0,87.0,422.0,SUB-DISTRICT,Nuh,Total,103,15,2,"42,213",287101.0,"1,51,232","1,35,869",465.41,617.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,6.0,87.0,422.0,SUB-DISTRICT,Nuh,Urban,0,0,2,"3,499",21987.0,"11,554","10,433",10.39,2116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,6.0,89.0,427.0,SUB-DISTRICT,Palwal,Rural,143,3,0,"57,832",345842.0,"1,84,610","1,61,232",581.88,594.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,6.0,89.0,427.0,SUB-DISTRICT,Palwal,Total,143,3,3,"86,487",506253.0,"2,69,768","2,36,485",618.6,818.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,6.0,89.0,427.0,SUB-DISTRICT,Palwal,Urban,0,0,3,"28,655",160411.0,"85,158","75,253",36.72,4368.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,6.0,75.0,375.0,SUB-DISTRICT,Panipat,Rural,75,1,0,"53,285",276259.0,"1,48,063","1,28,196",461.62,598.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,6.0,75.0,375.0,SUB-DISTRICT,Panipat,Total,75,1,11,"1,58,921",791634.0,"4,23,899","3,67,735",536.31,1476.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,6.0,75.0,375.0,SUB-DISTRICT,Panipat,Urban,0,0,11,"1,05,636",515375.0,"2,75,836","2,39,539",74.69,6900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,6.0,85.0,414.0,SUB-DISTRICT,Rewari,Rural,258,11,0,"86,215",436188.0,"2,28,883","2,07,305",943.01,463.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,6.0,85.0,414.0,SUB-DISTRICT,Rewari,Total,258,11,7,"1,28,987",642872.0,"3,39,429","3,03,443",998.5,644.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,6.0,85.0,414.0,SUB-DISTRICT,Rewari,Urban,0,0,7,"42,772",206684.0,"1,10,546","96,138",55.49,3725.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,6.0,82.0,405.0,SUB-DISTRICT,Rohtak,Rural,83,7,0,"62,889",329211.0,"1,77,499","1,51,712",852.43,386.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,6.0,82.0,405.0,SUB-DISTRICT,Rohtak,Total,83,7,3,"1,44,512",734328.0,"3,92,188","3,42,140",937.23,784.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,6.0,82.0,405.0,SUB-DISTRICT,Rohtak,Urban,0,0,3,"81,623",405117.0,"2,14,689","1,90,428",84.8,4777.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,6.0,76.0,380.0,SUB-DISTRICT,Sonipat,Rural,135,6,0,"71,990",383181.0,"2,07,546","1,75,635",648.55,591.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,6.0,76.0,380.0,SUB-DISTRICT,Sonipat,Total,135,6,5,"1,38,173",710183.0,"3,82,835","3,27,348",708.36,1003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,6.0,76.0,380.0,SUB-DISTRICT,Sonipat,Urban,0,0,5,"66,183",327002.0,"1,75,289","1,51,713",59.81,5467.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajasthan,8.0,104.0,0.0,DISTRICT,Alwar,Rural,"2,021",33,0,"5,11,517",3019728.0,"15,89,508","14,30,220",8146.42,371.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajasthan,8.0,104.0,0.0,DISTRICT,Alwar,Total,"2,021",33,16,"6,39,720",3674179.0,"19,39,026","17,35,153",8380.0,438.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajasthan,8.0,104.0,0.0,DISTRICT,Alwar,Urban,0,0,16,"1,28,203",654451.0,"3,49,518","3,04,933",233.58,2802.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajasthan,8.0,105.0,0.0,DISTRICT,Bharatpur,Rural,"1,432",92,0,"3,38,689",2053363.0,"10,93,357","9,60,006",4916.38,418.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajasthan,8.0,105.0,0.0,DISTRICT,Bharatpur,Total,"1,432",92,10,"4,25,414",2548462.0,"13,55,726","11,92,736",5066.0,503.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajasthan,8.0,105.0,0.0,DISTRICT,Bharatpur,Urban,0,0,10,"86,725",495099.0,"2,62,369","2,32,730",149.62,3309.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajasthan,8.0,104.0,499.0,SUB-DISTRICT,Alwar,Rural,195,2,0,"59,433",355128.0,"1,87,403","1,67,725",1135.06,313.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajasthan,8.0,104.0,499.0,SUB-DISTRICT,Alwar,Total,195,2,4,"1,27,212",703856.0,"3,71,781","3,32,075",1201.59,586.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajasthan,8.0,104.0,499.0,SUB-DISTRICT,Alwar,Urban,0,0,4,"67,779",348728.0,"1,84,378","1,64,350",66.53,5242.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajasthan,8.0,105.0,511.0,SUB-DISTRICT,Bharatpur,Rural,175,18,0,"33,026",200177.0,"1,06,496","93,681",441.42,453.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajasthan,22.0,400,3231,SUB-DISTRICT,Bharatpur,Rural,175,8,0,"23,227",88750.0,"44,528","44,222",2347.82,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajasthan,8.0,105.0,511.0,SUB-DISTRICT,Bharatpur,Total,175,18,1,"78,940",453015.0,"2,40,536","2,12,479",501.49,903.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajasthan,22.0,400,3231,SUB-DISTRICT,Bharatpur,Total,175,8,0,"23,227",88750.0,"44,528","44,222",2347.82,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajasthan,8.0,105.0,511.0,SUB-DISTRICT,Bharatpur,Urban,0,0,1,"45,914",252838.0,"1,34,040","1,18,798",60.07,4209.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajasthan,22.0,400,3231,SUB-DISTRICT,Bharatpur,Urban,0,0,0,0,,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,7.0,95.0,0.0,DISTRICT,Central,Rural,0,0,0,0,,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,7.0,95.0,0.0,DISTRICT,Central,Total,0,0,0,"1,19,639",582320.0,"3,07,821","2,74,499",21.0,27730.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,7.0,95.0,0.0,DISTRICT,Central,Urban,0,0,0,"1,19,639",582320.0,"3,07,821","2,74,499",21.0,27730.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,7.0,93.0,0.0,DISTRICT,East,Rural,1,0,0,875,3530.0,"1,861","1,669",0.27,13074.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,7.0,93.0,0.0,DISTRICT,East,Total,1,0,7,"3,58,937",1709346.0,"9,07,500","8,01,846",63.0,27132.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,7.0,93.0,0.0,DISTRICT,East,Urban,0,0,7,"3,58,062",1705816.0,"9,05,639","8,00,177",62.73,27193.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,7.0,91.0,0.0,DISTRICT,North,Rural,2,2,0,"3,312",17746.0,"9,546","8,200",9.62,1845.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,7.0,91.0,0.0,DISTRICT,North,Total,2,2,4,"1,80,044",887978.0,"4,75,002","4,12,976",61.0,14557.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,7.0,91.0,0.0,DISTRICT,North,Urban,0,0,4,"1,76,732",870232.0,"4,65,456","4,04,776",51.38,16937.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,7.0,92.0,0.0,DISTRICT,North East,Rural,8,1,0,"3,938",21527.0,"11,718","9,809",14.63,1471.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,7.0,92.0,0.0,DISTRICT,North East,Total,8,1,15,"4,06,125",2241624.0,"11,88,425","10,53,199",62.0,36155.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,7.0,92.0,0.0,DISTRICT,North East,Urban,0,0,15,"4,02,187",2220097.0,"11,76,707","10,43,390",47.37,46867.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,7.0,90.0,0.0,DISTRICT,North West,Rural,48,4,0,"40,500",213950.0,"1,15,680","98,270",170.75,1253.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,7.0,90.0,0.0,DISTRICT,North West,Total,48,4,34,"7,36,253",3656539.0,"19,60,922","16,95,617",443.0,8254.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,7.0,90.0,0.0,DISTRICT,North West,Urban,0,0,34,"6,95,753",3442589.0,"18,45,242","15,97,347",272.25,12645.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,7.0,98.0,0.0,DISTRICT,South,Rural,3,0,0,"2,457",12193.0,"6,819","5,374",13.15,927.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,7.0,98.0,0.0,DISTRICT,South,Total,3,0,23,"5,74,133",2731929.0,"14,67,428","12,64,501",247.0,11060.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,7.0,98.0,0.0,DISTRICT,South,Urban,0,0,23,"5,71,676",2719736.0,"14,60,609","12,59,127",233.85,11630.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,7.0,97.0,0.0,DISTRICT,South West,Rural,39,2,0,"27,322",143676.0,"77,342","66,334",153.66,935.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,7.0,97.0,0.0,DISTRICT,South West,Total,39,2,19,"4,94,439",2292958.0,"12,46,046","10,46,912",421.0,5446.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,7.0,97.0,0.0,DISTRICT,South West,Urban,0,0,19,"4,67,117",2149282.0,"11,68,704","9,80,578",267.34,8040.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,9.0,139.0,0.0,DISTRICT,Baghpat,Rural,290,25,0,"1,64,494",1028023.0,"5,53,807","4,74,216",1271.92,808.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,9.0,139.0,0.0,DISTRICT,Baghpat,Total,290,25,8,"2,09,916",1303048.0,"7,00,070","6,02,978",1321.0,986.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,9.0,139.0,0.0,DISTRICT,Baghpat,Urban,0,0,8,"45,422",275025.0,"1,46,263","1,28,762",49.08,5604.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,9.0,142.0,0.0,DISTRICT,Bulandshahr ,Rural,"1,174",68,0,"4,40,668",2631742.0,"13,90,490","12,41,252",4338.49,607.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,9.0,142.0,0.0,DISTRICT,Bulandshahr ,Total,"1,174",68,21,"5,87,529",3499171.0,"18,45,260","16,53,911",4512.0,776.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,9.0,142.0,0.0,DISTRICT,Bulandshahr ,Urban,0,0,21,"1,46,861",867429.0,"4,54,770","4,12,659",173.51,4999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,9.0,141.0,0.0,DISTRICT,Gautam Buddha Nagar,Rural,304,16,0,"1,11,916",673806.0,"3,59,605","3,14,201",1093.85,616.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,9.0,141.0,0.0,DISTRICT,Gautam Buddha Nagar,Total,304,16,13,"3,27,090",1648115.0,"8,90,214","7,57,901",1282.0,1286.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,9.0,141.0,0.0,DISTRICT,Gautam Buddha Nagar,Urban,0,0,13,"2,15,174",974309.0,"5,30,609","4,43,700",188.15,5178.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,9.0,140.0,0.0,DISTRICT,Ghaziabad,Rural,511,36,0,"2,48,050",1519098.0,"8,08,222","7,10,876",777.91,1953.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,9.0,140.0,0.0,DISTRICT,Ghaziabad,Total,511,36,26,"8,50,676",4681645.0,"24,88,834","21,92,811",1179.0,3971.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,9.0,140.0,0.0,DISTRICT,Ghaziabad,Urban,0,0,26,"6,02,626",3162547.0,"16,80,612","14,81,935",401.09,7885.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,9.0,138.0,0.0,DISTRICT,Meerut,Rural,604,59,0,"2,71,679",1684507.0,"8,94,920","7,89,587",2300.83,732.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,9.0,138.0,0.0,DISTRICT,Meerut,Total,604,59,18,"5,79,110",3443689.0,"18,25,743","16,17,946",2559.0,1346.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,9.0,138.0,0.0,DISTRICT,Meerut,Urban,0,0,18,"3,07,431",1759182.0,"9,30,823","8,28,359",258.17,6814.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,9.0,133.0,0.0,DISTRICT,Muzaffarnagar,Rural,880,139,0,"4,75,749",2952200.0,"15,65,004","13,87,196",3867.59,763.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,9.0,133.0,0.0,DISTRICT,Muzaffarnagar,Total,880,139,27,"6,76,642",4143512.0,"21,93,434","19,50,078",4008.0,1034.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,9.0,133.0,0.0,DISTRICT,Muzaffarnagar,Urban,0,0,27,"2,00,893",1191312.0,"6,28,430","5,62,882",140.41,8485.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,9.0,139.0,736.0,SUB-DISTRICT,Baghpat,Rural,103,10,0,"52,797",329593.0,"1,76,900","1,52,693",430.59,765.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,9.0,139.0,736.0,SUB-DISTRICT,Baghpat,Total,103,10,3,"64,795",404950.0,"2,16,540","1,88,410",436.81,927.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,9.0,139.0,736.0,SUB-DISTRICT,Baghpat,Urban,0,0,3,"11,998",75357.0,"39,640","35,717",6.22,12115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,9.0,142.0,746.0,SUB-DISTRICT,Bulandshahr,Rural,239,7,0,"90,151",555629.0,"2,93,503","2,62,126",708.63,784.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,9.0,142.0,746.0,SUB-DISTRICT,Bulandshahr,Total,239,7,4,"1,44,302",867941.0,"4,56,931","4,11,010",753.27,1152.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,9.0,142.0,746.0,SUB-DISTRICT,Bulandshahr,Urban,0,0,4,"54,151",312312.0,"1,63,428","1,48,884",44.64,6996.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,9.0,141.0,743.0,SUB-DISTRICT,Gautam Buddha Nagar,Rural,113,5,0,"29,893",184304.0,"98,340","85,964",298.94,617.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,9.0,141.0,743.0,SUB-DISTRICT,Gautam Buddha Nagar,Total,113,5,4,"55,578",316790.0,"1,69,959","1,46,831",333.07,951.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,9.0,141.0,743.0,SUB-DISTRICT,Gautam Buddha Nagar,Urban,0,0,4,"25,685",132486.0,"71,619","60,867",34.13,3882.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,9.0,140.0,739.0,SUB-DISTRICT,Ghaziabad,Rural,72,6,0,"47,218",294358.0,"1,57,951","1,36,407",185.76,1585.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,9.0,140.0,739.0,SUB-DISTRICT,Ghaziabad,Total,72,6,7,"5,19,804",2705849.0,"14,40,050","12,65,799",457.0,5921.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,9.0,140.0,739.0,SUB-DISTRICT,Ghaziabad,Urban,0,0,7,"4,72,586",2411491.0,"12,82,099","11,29,392",271.24,8891.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,9.0,140.0,740.0,SUB-DISTRICT,Hapur,Rural,202,13,0,"97,396",601309.0,"3,18,819","2,82,490",353.21,1702.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,9.0,140.0,740.0,SUB-DISTRICT,Hapur,Total,202,13,3,"1,57,560",953480.0,"5,05,452","4,48,028",377.71,2524.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,9.0,140.0,740.0,SUB-DISTRICT,Hapur,Urban,0,0,3,"60,164",352171.0,"1,86,633","1,65,538",24.5,14374.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,9.0,138.0,734.0,SUB-DISTRICT,Meerut,Rural,208,13,0,"1,02,311",642009.0,"3,41,151","3,00,858",734.83,874.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
