State,State Code,District Code,Sub District Code,Level,Area_Name,Type,Number of villages,Unnamed: 7,Number of towns,Number of households,Population,Unnamed: 11,Unnamed: 12,Area_sq_km,Pop_Density,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85
Haryana,6.0,86.0,0.0,DISTRICT,Gurgaon,Urban,0,0,9,"2,37,750",1042253.0,"5,65,228","4,77,025",281.35,3704.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,6.0,83.0,0.0,DISTRICT,Jhajjar,Rural,247,13,0,"1,36,503",715066.0,"3,84,219","3,30,847",1752.88,408.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,6.0,83.0,0.0,DISTRICT,Jhajjar,Total,247,13,5,"1,85,334",958405.0,"5,14,667","4,43,738",1834.0,523.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,6.0,83.0,0.0,DISTRICT,Jhajjar,Urban,0,0,5,"48,831",243339.0,"1,30,448","1,12,891",81.12,3000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,6.0,77.0,0.0,DISTRICT,Jind,Rural,302,4,0,"1,90,875",1028569.0,"5,50,519","4,78,050",2626.74,392.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,6.0,77.0,0.0,DISTRICT,Jind,Total,302,4,6,"2,49,736",1334152.0,"7,13,006","6,21,146",2702.0,494.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,6.0,77.0,0.0,DISTRICT,Jind,Urban,0,0,6,"58,861",305583.0,"1,62,487","1,43,096",75.26,4060.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,6.0,74.0,0.0,DISTRICT,Karnal,Rural,417,17,0,"1,98,594",1050514.0,"5,57,110","4,93,404",2451.05,429.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,6.0,74.0,0.0,DISTRICT,Karnal,Total,417,17,8,"2,92,084",1505324.0,"7,97,712","7,07,612",2520.0,597.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haryana,6.0,74.0,0.0,DISTRICT,Karnal,Urban,0,0,8,"93,490",454810.0,"2,40,602","2,14,208",68.95,6596.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
