Level,Name,TRU,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06
DISTRICT,South West Delhi,Urban,2149282,1168704,980578,249088,134698,114390
DISTRICT,Alwar,Total,3674179,1939026,1735153,587959,315270,272689
DISTRICT,Alwar,Rural,3019728,1589508,1430220,502526,269105,233421
DISTRICT,Alwar,Urban,654451,349518,304933,85433,46165,39268
DISTRICT,Bharatpur,Total,2548462,1355726,1192736,436165,233323,202842
DISTRICT,Bharatpur,Rural,2053363,1093357,960006,368292,196675,171617
DISTRICT,Bharatpur,Urban,495099,262369,232730,67873,36648,31225
DISTRICT,Muzaffarnagar,Total,4143512,2193434,1950078,646062,346805,299257
DISTRICT,Muzaffarnagar,Rural,2952200,1565004,1387196,471375,253186,218189
DISTRICT,Muzaffarnagar,Urban,1191312,628430,562882,174687,93619,81068
DISTRICT,Meerut,Total,3443689,1825743,1617946,503719,272034,231685
DISTRICT,Meerut,Rural,1684507,894920,789587,267252,144053,123199
DISTRICT,Meerut,Urban,1759182,930823,828359,236467,127981,108486
DISTRICT,Baghpat,Total,1303048,700070,602978,194979,105924,89055
DISTRICT,Baghpat,Rural,1028023,553807,474216,154270,83995,70275
DISTRICT,Baghpat,Urban,275025,146263,128762,40709,21929,18780
DISTRICT,Ghaziabad,Total,4681645,2488834,2192811,681231,368162,313069
DISTRICT,Ghaziabad,Rural,1519098,808222,710876,248759,134152,114607
DISTRICT,Ghaziabad,Urban,3162547,1680612,1481935,432472,234010,198462
DISTRICT,Gautam Buddha Nagar,Total,1648115,890214,757901,246598,133835,112763
DISTRICT,Gautam Buddha Nagar,Rural,673806,359605,314201,109480,59951,49529
DISTRICT,Gautam Buddha Nagar,Urban,974309,530609,443700,137118,73884,63234
DISTRICT,Bulandshahr,Total,3499171,1845260,1653911,549796,296558,253238
DISTRICT,Bulandshahr,Rural,2631742,1390490,1241252,422617,228415,194202
DISTRICT,Bulandshahr,Urban,867429,454770,412659,127179,68143,59036
SUB-DISTRICT,Shahdara,Total,322931,169409,153522,39375,21039,18336
SUB-DISTRICT,Shahdara,Rural,0,0,0,0,0,0
SUB-DISTRICT,Shahdara,Urban,322931,169409,153522,39375,21039,18336
SUB-DISTRICT,Charki Dadri,Total,1110093,601465,508628,160174,86676,73498
SUB-DISTRICT,Charki Dadri,Rural,326999,173699,153300,52041,28548,23493
SUB-DISTRICT,Charki Dadri,Urban,783094,427766,355328,108133,58128,50005
SUB-DISTRICT,Shamli,Total,687324,366378,320946,101403,55283,46120
SUB-DISTRICT,Shamli,Rural,470882,251293,219589,70326,38310,32016
SUB-DISTRICT,Shamli,Urban,216442,115085,101357,31077,16973,14104
SUB-DISTRICT,Hapur,Total,953480,505452,448028,151665,81700,69965
SUB-DISTRICT,Hapur,Rural,601309,318819,282490,100743,54182,46561
SUB-DISTRICT,Hapur,Urban,352171,186633,165538,50922,27518,23404
