DISTRICT_NAME,TEMP,date
Alwar,16.958073,2014-01-01
Meerut,18.709143,2014-01-01
Rohtak,17.62748,2014-01-01
Alwar,18.833872,2014-01-02
Meerut,19.089815,2014-01-02
Rohtak,18.946556,2014-01-02
Alwar,20.069155,2014-01-03
Meerut,19.605644,2014-01-03
Rohtak,19.687872,2014-01-03
Alwar,19.544003,2014-01-04
Meerut,19.397066,2014-01-04
Rohtak,19.918306,2014-01-04
Alwar,18.774,2014-01-05
Meerut,18.66399,2014-01-05
Rohtak,18.993242,2014-01-05
Alwar,18.345543,2014-01-06
Meerut,18.271053,2014-01-06
Rohtak,19.063648,2014-01-06
Alwar,20.475266,2014-01-07
Meerut,19.669476,2014-01-07
Rohtak,20.403782,2014-01-07
Alwar,20.966948,2014-01-08
Meerut,20.001087,2014-01-08
Rohtak,21.162502,2014-01-08
Alwar,18.344225,2014-01-09
Meerut,17.943254,2014-01-09
Rohtak,18.359838,2014-01-09
Alwar,18.191788,2014-01-10
Meerut,17.812126,2014-01-10
Rohtak,18.118895,2014-01-10
Alwar,18.863823,2014-01-11
Meerut,18.678541,2014-01-11
Rohtak,18.967098,2014-01-11
Alwar,19.46819,2014-01-12
Meerut,19.96631,2014-01-12
Rohtak,19.554668,2014-01-12
Alwar,19.75929,2014-01-13
Meerut,19.363413,2014-01-13
Rohtak,19.718657,2014-01-13
Alwar,19.155512,2014-01-14
Meerut,19.201378,2014-01-14
Rohtak,19.85115,2014-01-14
Alwar,17.280664,2014-01-15
Meerut,15.93688,2014-01-15
Rohtak,16.472458,2014-01-15
Alwar,17.34417,2014-01-16
Meerut,15.857092,2014-01-16
Rohtak,16.095093,2014-01-16
Alwar,14.200087,2014-01-17
Meerut,14.991774,2014-01-17
Rohtak,13.95302,2014-01-17
Alwar,16.103579,2014-01-18
Meerut,15.081551,2014-01-18
Rohtak,15.877192,2014-01-18
Alwar,16.236845,2014-01-19
Meerut,19.045753,2014-01-19
Rohtak,18.383419,2014-01-19
Alwar,18.147741,2014-01-20
Meerut,19.006182,2014-01-20
Rohtak,18.538792,2014-01-20
Alwar,15.284994,2014-01-21
Meerut,15.834995,2014-01-21
Rohtak,15.771861,2014-01-21
Alwar,17.61005,2014-01-22
Meerut,17.067236,2014-01-22
Rohtak,17.55289,2014-01-22
Alwar,19.181755,2014-01-23
Meerut,20.163942,2014-01-23
Rohtak,19.756252,2014-01-23
Alwar,18.160831,2014-01-24
Meerut,19.01611,2014-01-24
Rohtak,18.244944,2014-01-24
Alwar,17.253279,2014-01-25
Meerut,17.608522,2014-01-25
Rohtak,17.67757,2014-01-25
Alwar,20.660828,2014-01-26
Meerut,21.018929,2014-01-26
Rohtak,21.461546,2014-01-26
Alwar,23.466135,2014-01-27
Meerut,22.018202,2014-01-27
Rohtak,23.17551,2014-01-27
Alwar,24.274782,2014-01-28
Meerut,23.42961,2014-01-28
Rohtak,24.064556,2014-01-28
Alwar,23.132862,2014-01-29
Meerut,20.030096,2014-01-29
Rohtak,21.683084,2014-01-29
Alwar,21.96671,2014-01-30
Meerut,20.522795,2014-01-30
Rohtak,21.434572,2014-01-30
Alwar,21.497807,2014-01-31
Meerut,20.330587,2014-01-31
Rohtak,21.841282,2014-01-31
Alwar,19.48829,2014-02-01
Meerut,18.133518,2014-02-01
Rohtak,18.726189,2014-02-01
Alwar,22.176788,2014-02-02
Meerut,20.520245,2014-02-02
Rohtak,21.419851,2014-02-02
Alwar,26.076517,2014-02-03
Meerut,24.14699,2014-02-03
Rohtak,25.038363,2014-02-03
Alwar,25.449883,2014-02-04
Meerut,24.243692,2014-02-04
Rohtak,24.264322,2014-02-04
Alwar,25.492514,2014-02-05
Meerut,24.10905,2014-02-05
Rohtak,24.780348,2014-02-05
Alwar,26.324207,2014-02-06
Meerut,23.262735,2014-02-06
