DISTRICT_NAME,TEMP,date
Alwar,18.767967,2021-01-01
Meerut,16.549438,2021-01-01
Rohtak,16.79972,2021-01-01
Alwar,19.57393,2021-01-02
Meerut,18.309713,2021-01-02
Rohtak,18.774767,2021-01-02
Alwar,20.647442,2021-01-03
Meerut,19.28729,2021-01-03
Rohtak,19.333853,2021-01-03
Alwar,22.240747,2021-01-04
Meerut,23.435219,2021-01-04
Rohtak,22.780525,2021-01-04
Alwar,22.151716,2021-01-05
Meerut,21.576378,2021-01-05
Rohtak,20.828941,2021-01-05
Alwar,20.24138,2021-01-06
Meerut,21.300566,2021-01-06
Rohtak,20.042746,2021-01-06
Alwar,18.820738,2021-01-07
Meerut,19.445282,2021-01-07
Rohtak,18.129639,2021-01-07
Alwar,16.46331,2021-01-08
Meerut,18.039942,2021-01-08
Rohtak,17.536053,2021-01-08
Alwar,18.374275,2021-01-09
Meerut,21.29342,2021-01-09
Rohtak,18.695425,2021-01-09
Alwar,18.200212,2021-01-10
Meerut,18.44735,2021-01-10
Rohtak,15.84783,2021-01-10
Alwar,19.490816,2021-01-11
Meerut,19.131931,2021-01-11
Rohtak,18.642405,2021-01-11
Alwar,19.893152,2021-01-12
Meerut,17.888594,2021-01-12
Rohtak,17.460882,2021-01-12
Alwar,20.120365,2021-01-13
Meerut,17.669548,2021-01-13
Rohtak,17.88407,2021-01-13
Alwar,21.729849,2021-01-14
Meerut,18.109539,2021-01-14
Rohtak,19.434982,2021-01-14
Alwar,22.048399,2021-01-15
Meerut,19.788485,2021-01-15
Rohtak,20.500685,2021-01-15
Alwar,20.273657,2021-01-16
Meerut,18.833181,2021-01-16
Rohtak,17.470043,2021-01-16
Alwar,18.684841,2021-01-17
Meerut,16.373861,2021-01-17
Rohtak,18.29926,2021-01-17
Alwar,20.19729,2021-01-18
Meerut,20.570713,2021-01-18
Rohtak,20.3095,2021-01-18
Alwar,19.505047,2021-01-19
Meerut,20.805374,2021-01-19
Rohtak,19.449589,2021-01-19
Alwar,22.195456,2021-01-20
Meerut,19.541796,2021-01-20
Rohtak,20.556335,2021-01-20
Alwar,24.748558,2021-01-21
Meerut,21.879099,2021-01-21
Rohtak,23.144243,2021-01-21
Alwar,23.752338,2021-01-22
Meerut,20.127842,2021-01-22
Rohtak,21.406094,2021-01-22
Alwar,22.794214,2021-01-23
Meerut,20.369915,2021-01-23
Rohtak,21.849573,2021-01-23
Alwar,17.43044,2021-01-24
Meerut,16.66455,2021-01-24
Rohtak,16.421312,2021-01-24
Alwar,17.902994,2021-01-25
Meerut,17.576292,2021-01-25
Rohtak,18.023352,2021-01-25
Alwar,19.39085,2021-01-26
Meerut,18.613808,2021-01-26
Rohtak,19.231068,2021-01-26
Alwar,21.531319,2021-01-27
Meerut,20.24451,2021-01-27
Rohtak,21.110863,2021-01-27
Alwar,19.918541,2021-01-28
Meerut,18.819735,2021-01-28
Rohtak,19.439602,2021-01-28
Alwar,20.984175,2021-01-29
Meerut,19.403297,2021-01-29
Rohtak,20.74859,2021-01-29
Alwar,22.598835,2021-01-30
Meerut,20.939465,2021-01-30
Rohtak,22.013391,2021-01-30
Alwar,24.930508,2021-01-31
Meerut,22.443686,2021-01-31
Rohtak,23.856125,2021-01-31
Alwar,27.166962,2021-02-01
Meerut,24.3393,2021-02-01
Rohtak,25.874516,2021-02-01
Alwar,28.067305,2021-02-02
Meerut,25.303465,2021-02-02
Rohtak,26.57756,2021-02-02
Alwar,26.988667,2021-02-03
Meerut,24.37434,2021-02-03
Rohtak,25.203136,2021-02-03
Alwar,23.4074,2021-02-04
Meerut,20.364649,2021-02-04
Rohtak,21.205275,2021-02-04
Alwar,22.443066,2021-02-05
Meerut,22.09537,2021-02-05
Rohtak,21.803549,2021-02-05
Alwar,22.031982,2021-02-06
Meerut,21.762917,2021-02-06
Rohtak,22.069054,2021-02-06
Alwar,23.459557,2021-02-07
Meerut,22.831945,2021-02-07
Rohtak,23.248407,2021-02-07
Alwar,26.170727,2021-02-08
Meerut,24.720955,2021-02-08
Rohtak,25.627777,2021-02-08
Alwar,28.193428,2021-02-09
Meerut,25.227337,2021-02-09
