DISTRICT_NAME,TEMP,date
Alwar,24.522297,2016-01-01
Meerut,23.239069,2016-01-01
Rohtak,23.810963,2016-01-01
Alwar,24.554092,2016-01-02
Meerut,23.024603,2016-01-02
Rohtak,23.741873,2016-01-02
Alwar,24.718582,2016-01-03
Meerut,23.026651,2016-01-03
Rohtak,23.915844,2016-01-03
Alwar,25.73255,2016-01-04
Meerut,23.014582,2016-01-04
Rohtak,24.759403,2016-01-04
Alwar,27.041342,2016-01-05
Meerut,24.985348,2016-01-05
Rohtak,26.157272,2016-01-05
Alwar,25.390762,2016-01-06
Meerut,24.215183,2016-01-06
Rohtak,24.52161,2016-01-06
Alwar,25.651194,2016-01-07
Meerut,23.885897,2016-01-07
Rohtak,24.790358,2016-01-07
Alwar,23.88561,2016-01-08
Meerut,22.84834,2016-01-08
Rohtak,22.973892,2016-01-08
Alwar,23.893072,2016-01-09
Meerut,22.503513,2016-01-09
Rohtak,23.22307,2016-01-09
Alwar,25.79882,2016-01-10
Meerut,22.889175,2016-01-10
Rohtak,24.196995,2016-01-10
Alwar,26.723213,2016-01-11
Meerut,23.732874,2016-01-11
Rohtak,25.216703,2016-01-11
Alwar,25.553232,2016-01-12
Meerut,23.874878,2016-01-12
Rohtak,24.87856,2016-01-12
Alwar,22.929804,2016-01-13
Meerut,22.315504,2016-01-13
Rohtak,22.122726,2016-01-13
Alwar,19.678583,2016-01-14
Meerut,18.23437,2016-01-14
Rohtak,18.572897,2016-01-14
Alwar,17.951736,2016-01-15
Meerut,16.901457,2016-01-15
Rohtak,16.763031,2016-01-15
Alwar,18.270868,2016-01-16
Meerut,16.163696,2016-01-16
Rohtak,16.754326,2016-01-16
Alwar,19.021206,2016-01-17
Meerut,17.993265,2016-01-17
Rohtak,18.43922,2016-01-17
Alwar,18.901043,2016-01-18
Meerut,18.01509,2016-01-18
Rohtak,18.690386,2016-01-18
Alwar,17.648914,2016-01-19
Meerut,15.629628,2016-01-19
Rohtak,16.345552,2016-01-19
Alwar,17.034143,2016-01-20
Meerut,15.284399,2016-01-20
Rohtak,16.224607,2016-01-20
Alwar,18.501064,2016-01-21
Meerut,14.869001,2016-01-21
Rohtak,16.602234,2016-01-21
Alwar,19.71806,2016-01-22
Meerut,16.543232,2016-01-22
Rohtak,17.54713,2016-01-22
Alwar,21.649729,2016-01-23
Meerut,17.894108,2016-01-23
Rohtak,18.858154,2016-01-23
Alwar,19.865461,2016-01-24
Meerut,17.081192,2016-01-24
Rohtak,17.2411,2016-01-24
Alwar,19.320253,2016-01-25
Meerut,16.131706,2016-01-25
Rohtak,16.773893,2016-01-25
Alwar,22.121342,2016-01-26
Meerut,20.516748,2016-01-26
Rohtak,21.045631,2016-01-26
Alwar,24.66773,2016-01-27
Meerut,22.817646,2016-01-27
Rohtak,23.82167,2016-01-27
Alwar,24.998447,2016-01-28
Meerut,23.677498,2016-01-28
Rohtak,24.081448,2016-01-28
Alwar,26.522648,2016-01-29
Meerut,24.397995,2016-01-29
Rohtak,25.482674,2016-01-29
Alwar,27.158007,2016-01-30
Meerut,26.611734,2016-01-30
Rohtak,26.846739,2016-01-30
Alwar,24.566193,2016-01-31
Meerut,22.503447,2016-01-31
Rohtak,22.549593,2016-01-31
Alwar,23.496006,2016-02-01
Meerut,23.175716,2016-02-01
Rohtak,23.253433,2016-02-01
Alwar,23.24624,2016-02-02
Meerut,21.985601,2016-02-02
Rohtak,22.204632,2016-02-02
Alwar,22.620638,2016-02-03
Meerut,22.303417,2016-02-03
Rohtak,22.65145,2016-02-03
Alwar,23.779928,2016-02-04
Meerut,23.546247,2016-02-04
Rohtak,23.687098,2016-02-04
Alwar,24.541048,2016-02-05
Meerut,25.327677,2016-02-05
Rohtak,24.569437,2016-02-05
Alwar,24.977509,2016-02-06
Meerut,24.542568,2016-02-06
Rohtak,24.581244,2016-02-06
Alwar,23.898468,2016-02-07
Meerut,22.231544,2016-02-07
Rohtak,23.239853,2016-02-07
Alwar,23.771868,2016-02-08
Meerut,23.050783,2016-02-08
Rohtak,23.61315,2016-02-08
Alwar,24.887995,2016-02-09
Meerut,24.77541,2016-02-09
Rohtak,24.761253,2016-02-09
Alwar,26.143017,2016-02-10
Meerut,25.618986,2016-02-10
Rohtak,26.096941,2016-02-10
Alwar,25.56308,2016-02-11
Meerut,25.03158,2016-02-11
Rohtak,25.433413,2016-02-11
Alwar,26.388332,2016-02-12
Meerut,25.74951,2016-02-12
Rohtak,25.792217,2016-02-12
Alwar,24.55078,2016-02-13
Meerut,23.770306,2016-02-13
Rohtak,23.74165,2016-02-13
Alwar,24.521975,2016-02-14
Meerut,25.091269,2016-02-14
Rohtak,24.781757,2016-02-14
Alwar,24.251837,2016-02-15
Meerut,24.086887,2016-02-15
Rohtak,23.889912,2016-02-15
Alwar,24.555147,2016-02-16
Meerut,25.179646,2016-02-16
Rohtak,24.832245,2016-02-16
Alwar,24.665186,2016-02-17
Meerut,26.62969,2016-02-17
Rohtak,25.136612,2016-02-17
Alwar,23.716148,2016-02-18
Meerut,26.039503,2016-02-18
Rohtak,23.675596,2016-02-18
Alwar,27.3521,2016-02-19
Meerut,27.508705,2016-02-19
Rohtak,26.66489,2016-02-19
Alwar,27.288769,2016-02-20
Meerut,27.242136,2016-02-20
