DISTRICT_NAME,date,minT,maxT
Bhiwani,2013-01-01,3.64,17.39
Faridabad,2013-01-01,3.79,16.92
Gurgaon,2013-01-01,3.66,15.81
Jhajjar,2013-01-01,3.66,15.81
Jind,2013-01-01,4.39,14.31
Mahendragarh,2013-01-01,3.36,17.63
Mewat,2013-01-01,3.36,17.63
Palwal,2013-01-01,3.79,16.92
Panipat,2013-01-01,3.66,15.81
Rewari,2013-01-01,3.36,17.63
Rohtak,2013-01-01,3.66,15.81
Sonipat,2013-01-01,3.66,15.81
West,2013-01-01,3.86,13.85
Alwar,2013-01-01,3.36,17.63
Bharatpur,2013-01-01,4.32,18.8
Baghpat,2013-01-01,3.86,13.85
Bulandshahr,2013-01-01,3.86,13.85
GautamBuddhaNagar,2013-01-01,3.86,13.85
Ghaziabad,2013-01-01,3.86,13.85
Hapur,2013-01-01,3.86,13.85
Meerut,2013-01-01,3.86,13.85
Muzaffarnagar,2013-01-01,3.86,13.85
Shamli,2013-01-01,4.73,12.91
Bhiwani,2013-01-02,3.76,14.4
Faridabad,2013-01-02,4.02,14.45
Gurgaon,2013-01-02,3.52,13.87
Jhajjar,2013-01-02,3.52,13.87
Jind,2013-01-02,3.69,13.2
Mahendragarh,2013-01-02,3.56,14.75
Mewat,2013-01-02,3.56,14.75
Palwal,2013-01-02,4.02,14.45
Panipat,2013-01-02,3.52,13.87
Rewari,2013-01-02,3.56,14.75
Rohtak,2013-01-02,3.52,13.87
Sonipat,2013-01-02,3.52,13.87
West,2013-01-02,3.42,12.87
Alwar,2013-01-02,3.56,14.75
Bharatpur,2013-01-02,4.97,17.06
Baghpat,2013-01-02,3.42,12.87
Bulandshahr,2013-01-02,3.42,12.87
GautamBuddhaNagar,2013-01-02,3.42,12.87
Ghaziabad,2013-01-02,3.42,12.87
Hapur,2013-01-02,3.42,12.87
Meerut,2013-01-02,3.42,12.87
Muzaffarnagar,2013-01-02,3.42,12.87
Shamli,2013-01-02,3.37,13.11
Bhiwani,2013-01-03,3.36,14.25
Faridabad,2013-01-03,4.24,14.7
Gurgaon,2013-01-03,3.95,13.4
Jhajjar,2013-01-03,3.95,13.4
Jind,2013-01-03,3.97,12.58
Mahendragarh,2013-01-03,3.66,15.53
Mewat,2013-01-03,3.66,15.53
