DISTRICT_NAME,date,minT,maxT
Bhiwani,2016-01-01,7.2924275,24.502827
Faridabad,2016-01-01,8.147511,24.51122
Gurgaon,2016-01-01,7.001295,23.810963
Jhajjar,2016-01-01,7.001295,23.810963
Jind,2016-01-01,7.5038977,22.641212
Mahendragarh,2016-01-01,7.792488,24.522297
Mewat,2016-01-01,7.792488,24.522297
Palwal,2016-01-01,8.147511,24.51122
Panipat,2016-01-01,7.001295,23.810963
Rewari,2016-01-01,7.792488,24.522297
Rohtak,2016-01-01,7.001295,23.810963
Sonipat,2016-01-01,7.001295,23.810963
West,2016-01-01,7.2765346,23.239069
Alwar,2016-01-01,7.792488,24.522297
Bharatpur,2016-01-01,8.186985,25.725338
Baghpat,2016-01-01,7.2765346,23.239069
Bulandshahr,2016-01-01,7.2765346,23.239069
GautamBuddhaNagar,2016-01-01,7.2765346,23.239069
Ghaziabad,2016-01-01,7.2765346,23.239069
Hapur,2016-01-01,7.2765346,23.239069
Meerut,2016-01-01,7.2765346,23.239069
Muzaffarnagar,2016-01-01,7.2765346,23.239069
Shamli,2016-01-01,7.3700647,22.120728
Bhiwani,2016-01-02,6.74322,24.602287
Faridabad,2016-01-02,7.9542418,24.103199
Gurgaon,2016-01-02,6.334077,23.741873
Jhajjar,2016-01-02,6.334077,23.741873
Jind,2016-01-02,6.3839974,22.521551
Mahendragarh,2016-01-02,7.4457984,24.554092
Mewat,2016-01-02,7.4457984,24.554092
Palwal,2016-01-02,7.9542418,24.103199
Panipat,2016-01-02,6.334077,23.741873
Rewari,2016-01-02,7.4457984,24.554092
Rohtak,2016-01-02,6.334077,23.741873
Sonipat,2016-01-02,6.334077,23.741873
West,2016-01-02,6.564924,23.024603
Alwar,2016-01-02,7.4457984,24.554092
Bharatpur,2016-01-02,8.372641,25.157743
Baghpat,2016-01-02,6.564924,23.024603
Bulandshahr,2016-01-02,6.564924,23.024603
GautamBuddhaNagar,2016-01-02,6.564924,23.024603
Ghaziabad,2016-01-02,6.564924,23.024603
Hapur,2016-01-02,6.564924,23.024603
Meerut,2016-01-02,6.564924,23.024603
Muzaffarnagar,2016-01-02,6.564924,23.024603
Shamli,2016-01-02,6.0747557,21.568981
Bhiwani,2016-01-03,6.869951,25.113508
Faridabad,2016-01-03,7.997893,24.200571
Gurgaon,2016-01-03,6.7003856,23.915844
Jhajjar,2016-01-03,6.7003856,23.915844
Jind,2016-01-03,7.1677785,23.166859
Mahendragarh,2016-01-03,7.1109333,24.718582
Mewat,2016-01-03,7.1109333,24.718582
Palwal,2016-01-03,7.997893,24.200571
Panipat,2016-01-03,6.7003856,23.915844
Rewari,2016-01-03,7.1109333,24.718582
Rohtak,2016-01-03,6.7003856,23.915844
Sonipat,2016-01-03,6.7003856,23.915844
West,2016-01-03,7.130904,23.026651
Alwar,2016-01-03,7.1109333,24.718582
Bharatpur,2016-01-03,7.8190436,25.189512
Baghpat,2016-01-03,7.130904,23.026651
Bulandshahr,2016-01-03,7.130904,23.026651
GautamBuddhaNagar,2016-01-03,7.130904,23.026651
Ghaziabad,2016-01-03,7.130904,23.026651
Hapur,2016-01-03,7.130904,23.026651
Meerut,2016-01-03,7.130904,23.026651
Muzaffarnagar,2016-01-03,7.130904,23.026651
Shamli,2016-01-03,7.2698407,21.616127
Bhiwani,2016-01-04,7.6762576,25.859928
Faridabad,2016-01-04,7.812911,24.780518
Gurgaon,2016-01-04,7.077981,24.759403
Jhajjar,2016-01-04,7.077981,24.759403
Jind,2016-01-04,7.336234,23.290567
Mahendragarh,2016-01-04,7.6925135,25.73255
Mewat,2016-01-04,7.6925135,25.73255
Palwal,2016-01-04,7.812911,24.780518
Panipat,2016-01-04,7.077981,24.759403
Rewari,2016-01-04,7.6925135,25.73255
Rohtak,2016-01-04,7.077981,24.759403
Sonipat,2016-01-04,7.077981,24.759403
West,2016-01-04,7.242874,23.014582
Alwar,2016-01-04,7.6925135,25.73255
Bharatpur,2016-01-04,7.6234856,26.068012
Baghpat,2016-01-04,7.242874,23.014582
Bulandshahr,2016-01-04,7.242874,23.014582
GautamBuddhaNagar,2016-01-04,7.242874,23.014582
Ghaziabad,2016-01-04,7.242874,23.014582
Hapur,2016-01-04,7.242874,23.014582
Meerut,2016-01-04,7.242874,23.014582
Muzaffarnagar,2016-01-04,7.242874,23.014582
Shamli,2016-01-04,7.052766,21.406698
Bhiwani,2016-01-05,10.272038,26.513203
Faridabad,2016-01-05,10.400132,26.45438
Gurgaon,2016-01-05,10.122768,26.157272
Jhajjar,2016-01-05,10.122768,26.157272
Jind,2016-01-05,9.973687,24.840591
Mahendragarh,2016-01-05,10.215343,27.041342
Mewat,2016-01-05,10.215343,27.041342
Palwal,2016-01-05,10.400132,26.45438
Panipat,2016-01-05,10.122768,26.157272
Rewari,2016-01-05,10.215343,27.041342
Rohtak,2016-01-05,10.122768,26.157272
Sonipat,2016-01-05,10.122768,26.157272
West,2016-01-05,10.3561945,24.985348
Alwar,2016-01-05,10.215343,27.041342
Bharatpur,2016-01-05,9.447975,27.943771
Baghpat,2016-01-05,10.3561945,24.985348
Bulandshahr,2016-01-05,10.3561945,24.985348
GautamBuddhaNagar,2016-01-05,10.3561945,24.985348
Ghaziabad,2016-01-05,10.3561945,24.985348
Hapur,2016-01-05,10.3561945,24.985348
Meerut,2016-01-05,10.3561945,24.985348
