DISTRICT_NAME,date,minT,maxT
Bhiwani,2018-01-01,5.0174665,20.327244
Faridabad,2018-01-01,6.3896646,18.890495
Gurgaon,2018-01-01,5.548551,18.771687
Jhajjar,2018-01-01,5.548551,18.771687
Jind,2018-01-01,6.105749,17.843191
Mahendragarh,2018-01-01,5.133041,20.513391
Mewat,2018-01-01,5.133041,20.513391
Palwal,2018-01-01,6.3896646,18.890495
Panipat,2018-01-01,5.548551,18.771687
Rewari,2018-01-01,5.133041,20.513391
Rohtak,2018-01-01,5.548551,18.771687
Sonipat,2018-01-01,5.548551,18.771687
West,2018-01-01,6.4354463,17.350689
Alwar,2018-01-01,5.133041,20.513391
Bharatpur,2018-01-01,6.2839065,21.00488
Baghpat,2018-01-01,6.4354463,17.350689
Bulandshahr,2018-01-01,6.4354463,17.350689
GautamBuddhaNagar,2018-01-01,6.4354463,17.350689
Ghaziabad,2018-01-01,6.4354463,17.350689
Hapur,2018-01-01,6.4354463,17.350689
Meerut,2018-01-01,6.4354463,17.350689
Muzaffarnagar,2018-01-01,6.4354463,17.350689
Shamli,2018-01-01,6.1901283,16.284279
Bhiwani,2018-01-02,5.5085564,19.50008
Faridabad,2018-01-02,7.370114,17.865671
Gurgaon,2018-01-02,6.2511296,17.974463
Jhajjar,2018-01-02,6.2511296,17.974463
Jind,2018-01-02,6.363256,18.223755
Mahendragarh,2018-01-02,6.076453,18.959553
Mewat,2018-01-02,6.076453,18.959553
Palwal,2018-01-02,7.370114,17.865671
Panipat,2018-01-02,6.2511296,17.974463
Rewari,2018-01-02,6.076453,18.959553
Rohtak,2018-01-02,6.2511296,17.974463
Sonipat,2018-01-02,6.2511296,17.974463
West,2018-01-02,7.281626,17.497944
Alwar,2018-01-02,6.076453,18.959553
Bharatpur,2018-01-02,7.0174103,19.579905
Baghpat,2018-01-02,7.281626,17.497944
Bulandshahr,2018-01-02,7.281626,17.497944
GautamBuddhaNagar,2018-01-02,7.281626,17.497944
Ghaziabad,2018-01-02,7.281626,17.497944
Hapur,2018-01-02,7.281626,17.497944
Meerut,2018-01-02,7.281626,17.497944
Muzaffarnagar,2018-01-02,7.281626,17.497944
Shamli,2018-01-02,6.632751,16.869818
Bhiwani,2018-01-03,4.5193048,19.915958
Faridabad,2018-01-03,6.3567786,17.849604
Gurgaon,2018-01-03,5.2747593,18.65111
Jhajjar,2018-01-03,5.2747593,18.65111
Jind,2018-01-03,5.8888035,17.828968
Mahendragarh,2018-01-03,4.9303727,19.553432
Mewat,2018-01-03,4.9303727,19.553432
Palwal,2018-01-03,6.3567786,17.849604
Panipat,2018-01-03,5.2747593,18.65111
Rewari,2018-01-03,4.9303727,19.553432
Rohtak,2018-01-03,5.2747593,18.65111
Sonipat,2018-01-03,5.2747593,18.65111
West,2018-01-03,6.635298,16.618008
Alwar,2018-01-03,4.9303727,19.553432
Bharatpur,2018-01-03,5.6838346,20.111183
Baghpat,2018-01-03,6.635298,16.618008
Bulandshahr,2018-01-03,6.635298,16.618008
GautamBuddhaNagar,2018-01-03,6.635298,16.618008
Ghaziabad,2018-01-03,6.635298,16.618008
Hapur,2018-01-03,6.635298,16.618008
Meerut,2018-01-03,6.635298,16.618008
Muzaffarnagar,2018-01-03,6.635298,16.618008
Shamli,2018-01-03,6.300577,16.312603
Bhiwani,2018-01-04,4.845201,20.275597
Faridabad,2018-01-04,5.4070125,18.709702
Gurgaon,2018-01-04,5.268132,18.431213
Jhajjar,2018-01-04,5.268132,18.431213
Jind,2018-01-04,5.201171,18.53395
Mahendragarh,2018-01-04,4.5809073,20.006481
Mewat,2018-01-04,4.5809073,20.006481
Palwal,2018-01-04,5.4070125,18.709702
Panipat,2018-01-04,5.268132,18.431213
Rewari,2018-01-04,4.5809073,20.006481
Rohtak,2018-01-04,5.268132,18.431213
Sonipat,2018-01-04,5.268132,18.431213
West,2018-01-04,5.6538773,17.237932
Alwar,2018-01-04,4.5809073,20.006481
Bharatpur,2018-01-04,4.457829,20.981195
Baghpat,2018-01-04,5.6538773,17.237932
Bulandshahr,2018-01-04,5.6538773,17.237932
GautamBuddhaNagar,2018-01-04,5.6538773,17.237932
Ghaziabad,2018-01-04,5.6538773,17.237932
Hapur,2018-01-04,5.6538773,17.237932
Meerut,2018-01-04,5.6538773,17.237932
Muzaffarnagar,2018-01-04,5.6538773,17.237932
Shamli,2018-01-04,5.562063,16.722637
Bhiwani,2018-01-05,5.5930905,19.744217
Faridabad,2018-01-05,6.3286495,19.747446
Gurgaon,2018-01-05,6.314333,19.319157
Jhajjar,2018-01-05,6.314333,19.319157
Jind,2018-01-05,6.333004,18.766373
Mahendragarh,2018-01-05,6.151756,21.242823
Mewat,2018-01-05,6.151756,21.242823
Palwal,2018-01-05,6.3286495,19.747446
Panipat,2018-01-05,6.314333,19.319157
Rewari,2018-01-05,6.151756,21.242823
Rohtak,2018-01-05,6.314333,19.319157
Sonipat,2018-01-05,6.314333,19.319157
West,2018-01-05,6.437509,17.931429
Alwar,2018-01-05,6.151756,21.242823
Bharatpur,2018-01-05,5.8950653,21.949465
Baghpat,2018-01-05,6.437509,17.931429
Bulandshahr,2018-01-05,6.437509,17.931429
GautamBuddhaNagar,2018-01-05,6.437509,17.931429
Ghaziabad,2018-01-05,6.437509,17.931429
Hapur,2018-01-05,6.437509,17.931429
Meerut,2018-01-05,6.437509,17.931429
Muzaffarnagar,2018-01-05,6.437509,17.931429
Shamli,2018-01-05,5.7339892,17.04691
Bhiwani,2018-01-06,4.4093027,20.215393
Faridabad,2018-01-06,5.2357244,20.162878
Gurgaon,2018-01-06,5.338819,19.892681
Jhajjar,2018-01-06,5.338819,19.892681
Jind,2018-01-06,5.0915146,19.040956
Mahendragarh,2018-01-06,5.4609866,21.282856
Mewat,2018-01-06,5.4609866,21.282856
Palwal,2018-01-06,5.2357244,20.162878
Panipat,2018-01-06,5.338819,19.892681
Rewari,2018-01-06,5.4609866,21.282856
Rohtak,2018-01-06,5.338819,19.892681
Sonipat,2018-01-06,5.338819,19.892681
West,2018-01-06,5.088683,18.794386
Alwar,2018-01-06,5.4609866,21.282856
Bharatpur,2018-01-06,4.99208,22.920433
Baghpat,2018-01-06,5.088683,18.794386
Bulandshahr,2018-01-06,5.088683,18.794386
GautamBuddhaNagar,2018-01-06,5.088683,18.794386
Ghaziabad,2018-01-06,5.088683,18.794386
Hapur,2018-01-06,5.088683,18.794386
Meerut,2018-01-06,5.088683,18.794386
Muzaffarnagar,2018-01-06,5.088683,18.794386
Shamli,2018-01-06,4.2773113,17.856792
Bhiwani,2018-01-07,4.5421,21.6699
Faridabad,2018-01-07,5.4907517,20.360783
Gurgaon,2018-01-07,5.0671406,20.607628
Jhajjar,2018-01-07,5.0671406,20.607628
Jind,2018-01-07,5.1135235,20.072435
Mahendragarh,2018-01-07,5.177047,20.862364
Mewat,2018-01-07,5.177047,20.862364
Palwal,2018-01-07,5.4907517,20.360783
Panipat,2018-01-07,5.0671406,20.607628
Rewari,2018-01-07,5.177047,20.862364
Rohtak,2018-01-07,5.0671406,20.607628
Sonipat,2018-01-07,5.0671406,20.607628
West,2018-01-07,5.698764,20.454178
Alwar,2018-01-07,5.177047,20.862364
Bharatpur,2018-01-07,5.4912033,21.807241
Baghpat,2018-01-07,5.698764,20.454178
Bulandshahr,2018-01-07,5.698764,20.454178
GautamBuddhaNagar,2018-01-07,5.698764,20.454178
Ghaziabad,2018-01-07,5.698764,20.454178
Hapur,2018-01-07,5.698764,20.454178
Meerut,2018-01-07,5.698764,20.454178
Muzaffarnagar,2018-01-07,5.698764,20.454178
Shamli,2018-01-07,5.105901,19.271748
Bhiwani,2018-01-08,3.9926417,22.420593
Faridabad,2018-01-08,4.4741488,20.921665
Gurgaon,2018-01-08,4.4274945,21.45602
Jhajjar,2018-01-08,4.4274945,21.45602
Jind,2018-01-08,4.477399,20.737877
Mahendragarh,2018-01-08,4.141072,21.55117
Mewat,2018-01-08,4.141072,21.55117
Palwal,2018-01-08,4.4741488,20.921665
Panipat,2018-01-08,4.4274945,21.45602
Rewari,2018-01-08,4.141072,21.55117
Rohtak,2018-01-08,4.4274945,21.45602
Sonipat,2018-01-08,4.4274945,21.45602
West,2018-01-08,4.8546515,20.719168
Alwar,2018-01-08,4.141072,21.55117
Bharatpur,2018-01-08,4.703505,22.073496
Baghpat,2018-01-08,4.8546515,20.719168
Bulandshahr,2018-01-08,4.8546515,20.719168
GautamBuddhaNagar,2018-01-08,4.8546515,20.719168
Ghaziabad,2018-01-08,4.8546515,20.719168
Hapur,2018-01-08,4.8546515,20.719168
Meerut,2018-01-08,4.8546515,20.719168
Muzaffarnagar,2018-01-08,4.8546515,20.719168
Shamli,2018-01-08,4.6434145,19.99145
Bhiwani,2018-01-09,3.4285843,23.298885
Faridabad,2018-01-09,3.9560735,20.870695
Gurgaon,2018-01-09,3.203493,22.33316
Jhajjar,2018-01-09,3.203493,22.33316
Jind,2018-01-09,3.6397054,21.791243
Mahendragarh,2018-01-09,3.6800165,22.646894
Mewat,2018-01-09,3.6800165,22.646894
Palwal,2018-01-09,3.9560735,20.870695
Panipat,2018-01-09,3.203493,22.33316
Rewari,2018-01-09,3.6800165,22.646894
Rohtak,2018-01-09,3.203493,22.33316
Sonipat,2018-01-09,3.203493,22.33316
West,2018-01-09,3.7988527,20.733887
Alwar,2018-01-09,3.6800165,22.646894
Bharatpur,2018-01-09,4.046027,22.45146
Baghpat,2018-01-09,3.7988527,20.733887
Bulandshahr,2018-01-09,3.7988527,20.733887
GautamBuddhaNagar,2018-01-09,3.7988527,20.733887
Ghaziabad,2018-01-09,3.7988527,20.733887
Hapur,2018-01-09,3.7988527,20.733887
Meerut,2018-01-09,3.7988527,20.733887
Muzaffarnagar,2018-01-09,3.7988527,20.733887
Shamli,2018-01-09,4.0934486,20.099583
Bhiwani,2018-01-10,4.689097,23.839184
Faridabad,2018-01-10,4.808966,21.91479
Gurgaon,2018-01-10,4.587194,23.077316
Jhajjar,2018-01-10,4.587194,23.077316
Jind,2018-01-10,5.1303062,23.010181
Mahendragarh,2018-01-10,5.014623,23.413013
Mewat,2018-01-10,5.014623,23.413013
Palwal,2018-01-10,4.808966,21.91479
Panipat,2018-01-10,4.587194,23.077316
Rewari,2018-01-10,5.014623,23.413013
Rohtak,2018-01-10,4.587194,23.077316
Sonipat,2018-01-10,4.587194,23.077316
West,2018-01-10,5.4417114,21.570917
Alwar,2018-01-10,5.014623,23.413013
Bharatpur,2018-01-10,4.621051,23.885883
Baghpat,2018-01-10,5.4417114,21.570917
Bulandshahr,2018-01-10,5.4417114,21.570917
GautamBuddhaNagar,2018-01-10,5.4417114,21.570917
Ghaziabad,2018-01-10,5.4417114,21.570917
Hapur,2018-01-10,5.4417114,21.570917
Meerut,2018-01-10,5.4417114,21.570917
Muzaffarnagar,2018-01-10,5.4417114,21.570917
Shamli,2018-01-10,5.790672,21.233
Bhiwani,2018-01-11,6.122893,23.963602
Faridabad,2018-01-11,6.1147165,22.570637
Gurgaon,2018-01-11,5.87789,22.905777
Jhajjar,2018-01-11,5.87789,22.905777
Jind,2018-01-11,6.4115973,22.513617
Mahendragarh,2018-01-11,5.4995008,23.297924
Mewat,2018-01-11,5.4995008,23.297924
Palwal,2018-01-11,6.1147165,22.570637
Panipat,2018-01-11,5.87789,22.905777
Rewari,2018-01-11,5.4995008,23.297924
Rohtak,2018-01-11,5.87789,22.905777
Sonipat,2018-01-11,5.87789,22.905777
West,2018-01-11,7.185101,22.58264
Alwar,2018-01-11,5.4995008,23.297924
Bharatpur,2018-01-11,5.8993793,23.836008
Baghpat,2018-01-11,7.185101,22.58264
Bulandshahr,2018-01-11,7.185101,22.58264
GautamBuddhaNagar,2018-01-11,7.185101,22.58264
Ghaziabad,2018-01-11,7.185101,22.58264
Hapur,2018-01-11,7.185101,22.58264
Meerut,2018-01-11,7.185101,22.58264
Muzaffarnagar,2018-01-11,7.185101,22.58264
Shamli,2018-01-11,7.3165226,21.709085
Bhiwani,2018-01-12,8.088916,24.424335
Faridabad,2018-01-12,6.3703685,22.979113
Gurgaon,2018-01-12,6.9313836,23.5753
Jhajjar,2018-01-12,6.9313836,23.5753
Jind,2018-01-12,7.992165,23.174395
Mahendragarh,2018-01-12,6.3718295,23.804316
Mewat,2018-01-12,6.3718295,23.804316
Palwal,2018-01-12,6.3703685,22.979113
Panipat,2018-01-12,6.9313836,23.5753
Rewari,2018-01-12,6.3718295,23.804316
Rohtak,2018-01-12,6.9313836,23.5753
Sonipat,2018-01-12,6.9313836,23.5753
West,2018-01-12,7.8307686,22.483892
Alwar,2018-01-12,6.3718295,23.804316
Bharatpur,2018-01-12,5.980472,24.784397
Baghpat,2018-01-12,7.8307686,22.483892
Bulandshahr,2018-01-12,7.8307686,22.483892
GautamBuddhaNagar,2018-01-12,7.8307686,22.483892
Ghaziabad,2018-01-12,7.8307686,22.483892
Hapur,2018-01-12,7.8307686,22.483892
Meerut,2018-01-12,7.8307686,22.483892
Muzaffarnagar,2018-01-12,7.8307686,22.483892
Shamli,2018-01-12,8.1299925,21.411232
Bhiwani,2018-01-13,6.1059585,24.644497
Faridabad,2018-01-13,6.859888,24.112139
Gurgaon,2018-01-13,5.9023304,23.693659
Jhajjar,2018-01-13,5.9023304,23.693659
Jind,2018-01-13,5.946792,22.818304
Mahendragarh,2018-01-13,6.441432,24.927887
Mewat,2018-01-13,6.441432,24.927887
Palwal,2018-01-13,6.859888,24.112139
Panipat,2018-01-13,5.9023304,23.693659
Rewari,2018-01-13,6.441432,24.927887
Rohtak,2018-01-13,5.9023304,23.693659
Sonipat,2018-01-13,5.9023304,23.693659
West,2018-01-13,5.6981983,22.458076
Alwar,2018-01-13,6.441432,24.927887
Bharatpur,2018-01-13,7.68362,25.821434
Baghpat,2018-01-13,5.6981983,22.458076
Bulandshahr,2018-01-13,5.6981983,22.458076
GautamBuddhaNagar,2018-01-13,5.6981983,22.458076
Ghaziabad,2018-01-13,5.6981983,22.458076
