YEAR,MONTH,DISTRICT_NAME,minT,maxT,avgT
2022,1,Charki Dadri,7.636866084990963,17.97128151386015,12.804073799425556
2022,2,Charki Dadri,9.46334491797856,24.536132769925253,16.999738843951906
2022,3,Charki Dadri,16.69028974117771,33.812045323464176,25.25116753232094
2022,4,Charki Dadri,21.969553988774617,40.974430077870686,31.47199203332265
2022,5,Charki Dadri,26.184343011917605,40.97749068044847,33.58091684618304
2022,6,Charki Dadri,27.2739848057429,40.50040095965067,33.88719288269678
2022,7,Charki Dadri,26.537708497816517,34.97304462463625,30.755376561226385
2022,8,Charki Dadri,25.969684037854595,34.17699993656528,30.073341987209936
2022,9,Charki Dadri,24.801054900487262,34.678496910731,29.73977590560913
2022,10,Charki Dadri,18.512501957339627,32.436384937840124,25.474443447589877
2022,11,Charki Dadri,12.514564941326777,29.048411827087403,20.78148838420709
2022,12,Charki Dadri,7.4406342089176185,23.017641641247657,15.229137925082638
2022,1,North West Delhi,7.822055962008815,17.896171570208768,12.859113766108791
2022,2,North West Delhi,9.45747523861272,24.301700843657766,16.879588041135243
2022,3,North West Delhi,16.726467500578973,33.7331711676813,25.229819334130134
2022,4,North West Delhi,21.984161994457242,41.01660127639771,31.500381635427473
2022,5,North West Delhi,26.156236397835517,40.77715432490072,33.46669536136812
2022,6,North West Delhi,27.334599317709603,40.496536077658334,33.91556769768397
2022,7,North West Delhi,26.725472499478247,35.12646159049003,30.92596704498414
2022,8,North West Delhi,26.213517336691577,34.439371644296955,30.326444490494268
2022,9,North West Delhi,24.96483216206233,34.62559119383494,29.795211677948636
2022,10,North West Delhi,18.733177984914473,32.382532894995904,25.55785543995519
2022,11,North West Delhi,12.739461386998494,28.949205814997356,20.844333600997924
2022,12,North West Delhi,7.628701740311039,22.875431441107107,15.252066590709074
2022,1,North Delhi,7.940535073703335,17.9387073596639,12.939621216683618
2022,2,North Delhi,9.33048966260893,24.00489749365619,16.66769357813256
2022,3,North Delhi,16.688334218052123,33.7044715358365,25.196402876944312
2022,4,North Delhi,21.91093452990055,41.04737184047699,31.47915318518877
2022,5,North Delhi,25.92083507622442,40.46820612665146,33.194520601437944
2022,6,North Delhi,27.34037716607253,40.509288384715724,33.92483277539412
2022,7,North Delhi,26.829206634336902,35.17656966755467,31.002888150945786
2022,8,North Delhi,26.338524644605577,34.52487382734975,30.431699235977664
2022,9,North Delhi,25.052566150228184,34.289768028656646,29.671167089442413
2022,10,North Delhi,19.02398883142779,32.089221689777986,25.556605260602886
2022,11,North Delhi,13.029086356957754,28.741561693350477,20.885324025154116
2022,12,North Delhi,7.980185275789231,22.76258224893001,15.37138376235962
2022,1,North East Delhi,8.00555082207085,17.962048994693706,12.983799908382277
2022,2,North East Delhi,9.26080596784041,23.842025814063494,16.55141589095195
2022,3,North East Delhi,16.667408471177982,33.688722531513505,25.178065501345742
2022,4,North East Delhi,21.870750751164223,41.06425727473365,31.467504012948936
2022,5,North East Delhi,25.791657933753026,40.29866992715866,33.04516393045584
2022,6,North East Delhi,27.343547776738806,40.51628624935945,33.92991701304913
2022,7,North East Delhi,26.886131034871585,35.20406661687359,31.045098825872586
2022,8,North East Delhi,26.407122759152482,34.571793392653106,30.489458075902796
2022,9,North East Delhi,25.1007104249133,34.10548411488533,29.603097269899315
2022,10,North East Delhi,19.183572107745753,31.92826633453369,25.55591922113972
2022,11,North East Delhi,13.18801888015535,28.627616393036313,20.90781763659583
2022,12,North East Delhi,8.173062862151413,22.7006559348555,15.436859398503458
2022,1,Central Delhi,7.922713952594333,17.932309308188792,12.927511630391562
2022,2,Central Delhi,9.349590289687354,24.049541383792484,16.699565836739918
2022,3,Central Delhi,16.694070063269695,33.7087884116771,25.2014292374734
2022,4,Central Delhi,21.92194909184067,41.04274346386945,31.482346277855058
2022,5,Central Delhi,25.95624313593765,40.514676792903614,33.235459964420635
2022,6,Central Delhi,27.339508086840315,40.5073702372445,33.923439162042406
2022,7,Central Delhi,26.813603389562243,35.169032624972765,30.991318007267502
2022,8,Central Delhi,26.31972158014988,34.512012954766604,30.415867267458243
2022,9,Central Delhi,25.03936957906794,34.340281112458975,29.68982534576346
2022,10,Central Delhi,18.980246308029336,32.13334030643586,25.5567933072326
2022,11,Central Delhi,12.9855222080372,28.772794633794714,20.879158420915957
2022,12,Central Delhi,7.927316626083893,22.77955654163087,15.353436583857382
2022,1,East Delhi,7.999610448367849,17.95991631086867,12.97976337961826
2022,2,East Delhi,9.267172843533217,23.856907110775587,16.562039977154402
2022,3,East Delhi,16.66932041958384,33.69016149012704,25.17974095485544
2022,4,East Delhi,21.874422271810932,41.06271448253114,31.46856837717104
2022,5,East Delhi,25.803460620324103,40.31416014924272,33.05881038478341
2022,6,East Delhi,27.343258083661397,40.51564686686904,33.92945247526522
2022,7,East Delhi,26.880929953280035,35.20155426934629,31.04124211131316
2022,8,East Delhi,26.400855071000585,34.56750643512539,30.484180753062986
2022,9,East Delhi,25.096311567859882,34.12232180948611,29.609316688672997
2022,10,East Delhi,19.168991266612938,31.942972540086316,25.555981903349625
2022,11,East Delhi,13.173497497181835,28.638027373184393,20.905762435183114
2022,12,East Delhi,8.1554399789163,22.70631403242246,15.43087700566938
2022,1,South Delhi,7.908412063558794,17.94675259127532,12.927582327417056
2022,2,South Delhi,9.338286757936455,24.05363867345473,16.695962715695593
2022,3,South Delhi,16.685429794327334,33.71695591384913,25.20119285408823
2022,4,South Delhi,21.912943009088323,41.03984830510823,31.476395657098276
2022,5,South Delhi,25.937670766632518,40.51290114580478,33.22528595621865
2022,6,South Delhi,27.331678408106615,40.50912125719011,33.920399832648364
2022,7,South Delhi,26.79753883680414,35.15260087931887,30.975069858061502
2022,8,South Delhi,26.297934134048308,34.483893278240686,30.390913706144495
2022,9,South Delhi,25.025095072972004,34.315556827242325,29.670325950107163
2022,10,South Delhi,18.977479272185054,32.112802735730675,25.545141003957866
2022,11,South Delhi,12.982058493516853,28.76670106906496,20.874379781290905
2022,12,South Delhi,7.934846732769532,22.788452934061805,15.361649833415669
2022,1,South West Delhi,7.780144983722318,17.8811248963879,12.83063494005511
2022,2,South West Delhi,9.50239530631474,24.406692504882812,16.954543905598776
2022,3,South West Delhi,16.73995682501024,33.7433234184019,25.24164012170607
2022,4,South West Delhi,22.010065587361655,41.005716451009114,31.507891019185386
2022,5,South West Delhi,26.23950761364352,40.88644212292087,33.5629748682822
2022,6,South West Delhi,27.332555452982586,40.49202505747477,33.912290255228676
2022,7,South West Delhi,26.688777431364983,35.10873628431751,30.898756857841246
2022,8,South West Delhi,26.169297064504317,34.40912597410141,30.28921151930286
2022,9,South West Delhi,24.93379700978597,34.74438578287761,29.83909139633179
2022,10,South West Delhi,18.630306120841734,32.48628923969884,25.558297680270286
2022,11,South West Delhi,12.63700901667277,29.022658157348634,20.829833587010704
2022,12,South West Delhi,7.504367428441202,22.915350883237778,15.20985915583949
2022,1,West Delhi,7.826264970511946,17.89768266779334,12.861973819152643
2022,2,West Delhi,9.452964035232387,24.29115680930397,16.872060422268177
2022,3,West Delhi,16.725112803467287,33.73215160404055,25.228632203753918
2022,4,West Delhi,21.981560565255304,41.01769441057135,31.49962748791333
2022,5,West Delhi,26.147873690265055,40.76617884091152,33.45702626558829
2022,6,West Delhi,27.33480457762877,40.4969891074631,33.91589684254593
2022,7,West Delhi,26.729157687942614,35.12824169602445,30.92869969198353
2022,8,West Delhi,26.217958261462524,34.44240913681659,30.33018369913956
2022,9,West Delhi,24.967948940175553,34.613660968012276,29.790804954093915
2022,10,West Delhi,18.743509133656822,32.372112920207364,25.557811026932093
2022,11,West Delhi,12.74975040709531,28.941829190872333,20.845789798983823
2022,12,West Delhi,7.641188305819334,22.871422437303384,15.256305371561359
2022,1,South East Delhi,7.961162200481091,17.946112809528728,12.95363750500491
2022,2,South East Delhi,9.308381566610285,23.953224247284034,16.63080290694716
2022,3,South East Delhi,16.681695241426766,33.699474950902065,25.190585096164416
2022,4,South East Delhi,21.8981856818258,41.05272897320029,31.475457327513045
2022,5,South East Delhi,25.87985187813088,40.41441847107316,33.14713517460202
2022,6,South East Delhi,27.341383085250854,40.51150855205677,33.92644581865381
2022,7,South East Delhi,26.84726667142114,35.18529344715952,31.01628005929033
2022,8,South East Delhi,26.36028832557523,34.539759694946,30.450024010260613
2022,9,South East Delhi,25.06784057346391,34.23130146097254,29.649571017218225
2022,10,South East Delhi,19.07461878732114,32.03815642326109,25.556387605291114
2022,11,South East Delhi,13.079509852609517,28.70541100348955,20.892460428049535
2022,12,South East Delhi,8.041378302500096,22.742935287026665,15.39215679476338
2023,1,Alwar,5.9311314859697895,19.539267324632213,12.735199405301001
2023,2,Alwar,11.115482347352165,28.61084066118513,19.863161504268646
2023,3,Alwar,15.739751046703708,30.3542609676238,23.047006007163755
