YEAR,MONTH,DISTRICT_NAME,RAINFALL,DATE,RAINFALL_STANDARDIZED,RAINFALL_STANDARDIZED_DISTRICT,RAINFALL_ROLL,ANOMALY
2013,7,Alwar,7.103935776561635,2013-07-01,2.405176556873069,2.165750358066471,0.01097956000240671,True
2013,8,Alwar,9.063408813306262,2013-08-01,3.259134654416484,2.951385379222891,0.4169989468041664,True
2013,8,Baghpat,9.104850264085876,2013-08-01,3.277195256325041,3.0288384228600003,0.5509237513598642,True
2013,8,Bharatpur,6.367624390269479,2013-08-01,2.0842846339700483,2.510799566460296,0.017162200942088868,True
2013,6,Ghaziabad,7.786417451997598,2013-06-01,2.702608949273727,3.39107861642638,0.3071296626541513,True
2013,7,Gurgaon,8.115904927253723,2013-07-01,2.8462029116594283,1.940305913419225,0.3701337279300517,True
2013,8,Gurgaon,8.322566676524378,2013-08-01,2.93626818478784,2.0082793783026176,0.6909005350372752,True
2013,8,Jind,7.718370517415385,2013-08-01,2.672953409386316,3.325967077408233,0.3513183421547633,True
2013,8,Meerut,11.020132675286265,2013-08-01,4.111894633890505,2.685546018204009,0.854149906934482,True
2013,8,Mewat,6.322287029316349,2013-08-01,2.064526155143774,2.195908879557071,0.09588170551889827,True
2013,6,Muzaffarnagar,7.09808313275377,2013-06-01,2.4026259157169814,1.4952129428841117,0.3300245846320808,True
2013,8,Muzaffarnagar,12.667575496939882,2013-08-01,4.829866818967441,3.2582656492009736,1.0620115239383623,True
2013,8,Palwal,7.13427403304846,2013-08-01,2.41839827480766,3.1239782539876813,0.21571851364650804,True
2013,8,Rewari,6.438209899971562,2013-08-01,2.115046510479186,2.0785355486740484,0.06857416967027138,True
2013,6,Shamli,7.333592538038889,2013-06-01,2.505263288071431,2.4193143923108704,0.4636232109338538,True
2013,8,Shamli,12.4943195074316,2013-08-01,4.75436011261628,4.631970286679512,1.1055103537005389,True
2013,8,Sonipat,6.37043396215285,2013-08-01,2.0855090737124917,2.410578671884958,0.22772914554333096,True
2013,8,Delhi,6.217620125380895,2013-08-01,2.018911263545688,2.17492937316937,0.29890482518697525,True
2015,7,Baghpat,6.528803769739405,2015-07-01,2.154528231954961,1.9681604755288948,0.04324249699573494,True
2015,7,Bulandshahr,6.35426662472948,2015-07-01,2.0784631851243325,2.2471771946160795,-0.16256268834817503,True
2015,8,Bulandshahr,7.039402892320387,2015-08-01,2.377052475539855,2.5625404562087293,0.06340284568378589,True
2015,7,Ghaziabad,7.103725126193416,2015-07-01,2.405084753319604,3.0287730801471824,-0.024633546546964702,True
2015,7,Gurgaon,9.809465119915624,2015-07-01,3.584273511805838,2.497337655819951,0.2564365644473288,True
2015,8,Gurgaon,9.169182264997112,2015-08-01,3.3052317906784765,2.286741140945577,0.4464774079495557,True
2015,7,Hapur,7.453983790932163,2015-07-01,2.557731009419825,2.508880910190437,-0.025837533197578977,True
2015,7,Jhajjar,6.392163994011058,2015-07-01,2.094979240597779,2.274637982709146,-0.14759022710671862,True
2015,7,Meerut,7.667237314245393,2015-07-01,2.650669044109776,1.6421386182055389,0.2055379002432747,True
2015,7,Muzaffarnagar,7.039933919305763,2015-07-01,2.3772839024519232,1.4768054972075637,0.1810141806226111,True
2015,7,Panipat,7.092900929912444,2015-07-01,2.4003674594910085,2.996514468572936,0.13251319828961652,True
2015,7,Shamli,6.902058974389107,2015-07-01,2.3171966119140874,2.234294861362897,0.0869716392120677,True
2015,7,Sonipat,6.361082279553978,2015-07-01,2.081433516186969,2.4059622249209536,0.025846658164000075,True
2015,7,Delhi,6.552408321570325,2015-07-01,2.1648153335363056,2.332187346119909,-0.05425359443673391,True
2015,8,Delhi,6.201229413670879,2015-08-01,2.011768026192178,2.167230266306967,0.1128049980967649,True
2016,7,Alwar,9.20940668777936,2016-07-01,3.3227619995202264,3.009922057732652,0.0246477339175889,True
2016,8,Alwar,7.712218053329925,2016-08-01,2.670272103531578,2.4096362653570718,0.1385633940128376,True
2016,7,Baghpat,7.593500008385989,2016-07-01,2.6185335830705743,2.406545350730965,-0.08854848560019464,True
2016,7,Bharatpur,7.603623315932289,2016-07-01,2.6229454225248423,3.127425170323027,-0.22192561533507482,True
2016,7,Bulandshahr,10.900822223338388,2016-07-01,4.0598979364867365,4.3399238063685805,0.09103087570851998,True
2016,7,Gurgaon,10.827559780689976,2016-07-01,4.027969425620692,2.8322008896614608,0.17451737475831652,True
2016,7,Hapur,8.945762267997187,2016-07-01,3.207863104295232,3.1602346788572797,0.026527441410175674,True
2016,7,Jhajjar,7.76831280904752,2016-07-01,2.6947187634123098,2.9123381336316263,-0.12782282270693,True
2016,7,Meerut,14.2511903660432,2016-07-01,5.520022139046581,3.6910380307287207,0.2670962937032817,True
2016,7,Mewat,6.971599598405182,2016-07-01,2.3475031167106057,2.49250695506801,-0.09563983738876507,True
2016,7,Muzaffarnagar,12.394266871555198,2016-07-01,4.710756165542242,3.171748336646111,0.21845303453865858,True
2016,7,Palwal,7.696496656585124,2016-07-01,2.663420560385457,3.4270995519172973,-0.1531464718211194,True
2016,7,Rewari,6.908585254463457,2016-07-01,2.320040830544208,2.2800929868749717,-0.17309702982838812,True
2016,7,Shamli,6.273588947711453,2016-07-01,2.0433030403871557,1.964839042985052,-0.08734017299190822,True
2016,7,Delhi,7.13306464911789,2016-07-01,2.4178712131022,2.604935424129706,-0.10000827525319678,True
2017,9,Bulandshahr,6.315037911186615,2017-09-01,2.061366916404149,2.22912050190229,-0.018194872786041705,True
