YEAR,MONTH,DISTRICT_NAME,RAINFALL,DATE,RAINFALL_STANDARDIZED,RAINFALL_STANDARDIZED_DISTRICT
2013,1,Alwar,0.0375828523240331,2013-01-01,-0.6765538966564578,-0.667447254264675
2013,2,Alwar,2.247853127593289,2013-02-01,0.2879099750203997,0.21874291110623884
2013,3,Alwar,0.0,2013-03-01,-0.692953385744588,-0.6825157979123917
2013,4,Alwar,0.0729068793001629,2013-04-01,-0.661140058719165,-0.6532843685498365
2013,5,Alwar,0.0828157616650454,2013-05-01,-0.6568162621425401,-0.6493114815233816
2013,6,Alwar,1.7267621178712165,2013-06-01,0.060528980779173104,0.009815644044908537
2013,7,Alwar,7.103935776561635,2013-07-01,2.4068889637941933,2.165750358066471
2013,8,Alwar,9.063408813306262,2013-08-01,3.26191604921926,2.951385379222891
2013,9,Alwar,2.205450654100804,2013-09-01,0.2694074171156859,0.20174197895016424
2013,10,Alwar,0.8002330112841821,2013-10-01,-0.3437672084058223,-0.36166878090276205
2013,11,Alwar,0.0,2013-11-01,-0.692953385744588,-0.6825157979123917
2013,12,Alwar,0.0,2013-12-01,-0.692953385744588,-0.6825157979123917
2013,1,Baghpat,1.846419999676366,2013-01-01,0.11274237081283653,0.040205674733686185
2013,2,Baghpat,3.8911202380965855,2013-02-01,1.0049588252575872,0.8821036981407462
2013,3,Baghpat,0.1008260162366974,2013-03-01,-0.648957386217538,-0.6785364160211756
2013,4,Baghpat,0.0497403929630915,2013-04-01,-0.6712488853888261,-0.6995707390238453
2013,5,Baghpat,0.4688687959024982,2013-05-01,-0.4883598483549121,-0.5269961154393759
2013,6,Baghpat,5.251621685922146,2013-06-01,1.5986212874793004,1.4422853121712442
2013,7,Baghpat,2.0802246817658023,2013-07-01,0.21476435944799774,0.1364739178804152
2013,8,Baghpat,9.104850264085876,2013-08-01,3.279999259455593,3.0288384228600003
2013,9,Baghpat,2.2857746611038845,2013-09-01,0.30445724955002584,0.22110838804108646
2013,10,Baghpat,1.896995036111724,2013-10-01,0.13481107254421257,0.061029765428547905
2013,11,Baghpat,0.1213861842950185,2013-11-01,-0.6399858411944119,-0.6700708402247981
2013,12,Baghpat,0.3055591143427356,2013-12-01,-0.5596209468376557,-0.5942382937914596
2013,1,Bharatpur,0.2405648577597833,2013-01-01,-0.587981556416553,-0.5459197442872192
2013,2,Bharatpur,1.07951896744115,2013-02-01,-0.2218992099107927,-0.12737521827318796
2013,3,Bharatpur,0.0,2013-03-01,-0.692953385744588,-0.6659347763429561
2013,4,Bharatpur,0.0,2013-04-01,-0.692953385744588,-0.6659347763429561
2013,5,Bharatpur,0.0434814653088969,2013-05-01,-0.6739800036893582,-0.6442423749611693
2013,6,Bharatpur,0.6979433305561542,2013-06-01,-0.3884018861696199,-0.31773890114398157
2013,7,Bharatpur,4.566481110790083,2013-07-01,1.2996563422739997,1.612229964745876
2013,8,Bharatpur,6.367624390269479,2013-08-01,2.0855953472039883,2.510799566460296
2013,9,Bharatpur,1.449782451738914,2013-09-01,-0.06033265508623307,0.05734496218408317
2013,10,Bharatpur,0.3292570844773323,2013-10-01,-0.5492802042223158,-0.5016722156509696
2013,11,Bharatpur,0.0,2013-11-01,-0.692953385744588,-0.6659347763429561
2013,12,Bharatpur,0.0133901757578695,2013-12-01,-0.6871105072068964,-0.6592545721444801
2013,1,Bulandshahr,0.6384052860961166,2013-01-01,-0.4143816468868931,-0.406295585619625
2013,2,Bulandshahr,2.054484487999053,2013-02-01,0.2035324810592938,0.2107470677206277
2013,3,Bulandshahr,0.2266498749615043,2013-03-01,-0.5940534374593862,-0.5857139762522153
2013,4,Bulandshahr,0.0370185352861881,2013-04-01,-0.6768001395713009,-0.6683439766310671
2013,5,Bulandshahr,0.0880768294295957,2013-05-01,-0.6545205656197542,-0.6460958246555714
2013,6,Bulandshahr,4.744810819956991,2013-06-01,1.3774715143199487,1.383030437176019
2013,7,Bulandshahr,2.7195250921512164,2013-07-01,0.49372669082614024,0.5005320023581912
2013,8,Bulandshahr,3.730424613561681,2013-08-01,0.9348383852667884,0.9410215753377823
2013,9,Bulandshahr,0.5068212029006746,2013-09-01,-0.47179910200525677,-0.4636320620844671
2013,10,Bulandshahr,0.7117989734616331,2013-10-01,-0.38235589842291223,-0.3743150046397008
2013,11,Bulandshahr,0.0604097376267115,2013-11-01,-0.6665932568090697,-0.6581514891362861
2013,12,Bulandshahr,0.2915367935934373,2013-12-01,-0.5657396653994006,-0.5574401364938757
2013,1,Gautam Buddha Nagar,0.7202467303122243,2013-01-01,-0.37866967218611713,-0.2589824253405693
2013,2,Gautam Buddha Nagar,3.123377297605787,2013-02-01,0.6699498731292656,1.1845518637489778
2013,3,Gautam Buddha Nagar,0.2975225256335351,2013-03-01,-0.5631277575423356,-0.5129082388551591
2013,4,Gautam Buddha Nagar,0.0450261235237121,2013-04-01,-0.673305983385621,-0.6645800702895044
2013,5,Gautam Buddha Nagar,0.0,2013-05-01,-0.692953385744588,-0.6916267709956004
2013,6,Gautam Buddha Nagar,2.090427695711454,2013-06-01,0.21921650199495266,0.5640703179147197
2013,7,Gautam Buddha Nagar,1.8797902397571071,2013-07-01,0.12730366284448058,0.43754269832760445
2013,8,Gautam Buddha Nagar,2.1402650523570275,2013-08-01,0.24096331299917467,0.5940070738174555
2013,9,Gautam Buddha Nagar,0.2212507704893748,2013-09-01,-0.5964093670762487,-0.5587238492668875
2013,10,Gautam Buddha Nagar,0.0179008072422396,2013-10-01,-0.6851422677776288,-0.6808739515657112
