YEAR,MONTH,DISTRICT_NAME,RAINFALL
2013,1,Alwar,0.03758285232403311
2013,2,Alwar,2.247853127593289
2013,3,Alwar,0.0
2013,4,Alwar,0.0729068793001629
2013,5,Alwar,0.08281576166504541
2013,6,Alwar,1.7267621178712165
2013,7,Alwar,7.103935776561635
2013,8,Alwar,9.063408813306262
2013,9,Alwar,2.2054506541008037
2013,10,Alwar,0.8002330112841821
2013,11,Alwar,0.0
2013,12,Alwar,0.0
2013,1,Baghpat,1.846419999676366
2013,2,Baghpat,3.8911202380965864
2013,3,Baghpat,0.10082601623669746
2013,4,Baghpat,0.049740392963091525
2013,5,Baghpat,0.46886879590249825
2013,6,Baghpat,5.251621685922146
2013,7,Baghpat,2.0802246817658023
2013,8,Baghpat,9.104850264085877
2013,9,Baghpat,2.2857746611038845
2013,10,Baghpat,1.896995036111724
2013,11,Baghpat,0.12138618429501852
2013,12,Baghpat,0.30555911434273564
2013,1,Bharatpur,0.24056485775978334
2013,2,Bharatpur,1.07951896744115
2013,3,Bharatpur,0.0
2013,4,Bharatpur,0.0
2013,5,Bharatpur,0.043481465308896954
2013,6,Bharatpur,0.6979433305561542
2013,7,Bharatpur,4.566481110790083
2013,8,Bharatpur,6.367624390269479
2013,9,Bharatpur,1.449782451738914
2013,10,Bharatpur,0.3292570844773323
2013,11,Bharatpur,0.0
2013,12,Bharatpur,0.013390175757869598
2013,1,Bulandshahr,0.6736991962117533
2013,2,Bulandshahr,2.0925052412918634
2013,3,Bulandshahr,0.221000773291434
2013,4,Bulandshahr,0.025729151268800095
2013,5,Bulandshahr,0.0938063129301994
2013,6,Bulandshahr,4.7349516434967525
2013,7,Bulandshahr,2.44760770922707
2013,8,Bulandshahr,3.270076760168999
2013,9,Bulandshahr,0.488902746240298
2013,10,Bulandshahr,0.5608152295312574
2013,11,Bulandshahr,0.05772675792376201
2013,12,Bulandshahr,0.2847178070775924
2013,1,Faridabad,0.9176407398716097
2013,2,Faridabad,2.3485115308846747
2013,3,Faridabad,0.06878414509757873
2013,4,Faridabad,0.05046692490577698
2013,5,Faridabad,0.020075925415562045
2013,6,Faridabad,1.36542506814003
2013,7,Faridabad,2.5717249248296983
2013,8,Faridabad,4.694455879349863
2013,9,Faridabad,0.7594363649686178
2013,10,Faridabad,0.47438184099812664
2013,11,Faridabad,0.027321374416351317
2013,12,Faridabad,0.12320946878002535
2013,1,GautamBuddhaNagar,0.7202467303122243
2013,2,GautamBuddhaNagar,3.123377297605787
2013,3,GautamBuddhaNagar,0.2975225256335351
2013,4,GautamBuddhaNagar,0.04502612352371216
2013,5,GautamBuddhaNagar,0.0
2013,6,GautamBuddhaNagar,2.090427695711454
2013,7,GautamBuddhaNagar,1.8797902397571071
2013,8,GautamBuddhaNagar,2.1402650523570275
2013,9,GautamBuddhaNagar,0.2212507704893748
2013,10,GautamBuddhaNagar,0.017900807242239674
2013,11,GautamBuddhaNagar,0.0
2013,12,GautamBuddhaNagar,0.031293288353950746
2013,1,Ghaziabad,1.2638810334667083
2013,2,Ghaziabad,3.9759181908198764
2013,3,Ghaziabad,0.412578244363108
2013,4,Ghaziabad,0.053197781244913735
2013,5,Ghaziabad,0.24683477032569148
2013,6,Ghaziabad,7.786417451997598
2013,7,Ghaziabad,3.6327886711205206
2013,8,Ghaziabad,4.0666463524103165
2013,9,Ghaziabad,0.9141006847222646
2013,10,Ghaziabad,0.6630193879527431
2013,11,Ghaziabad,0.0
2013,12,Ghaziabad,0.3616032235084041
2013,1,Gurgaon,1.00833099695944
2013,2,Gurgaon,3.034631008548396
2013,3,Gurgaon,0.2894515683574061
2013,4,Gurgaon,0.4752378324667613
2013,5,Gurgaon,0.0203073178568194
2013,6,Gurgaon,4.0967423737049105
2013,7,Gurgaon,8.115904927253723
2013,8,Gurgaon,8.322566676524378
2013,9,Gurgaon,2.113107489794493
2013,10,Gurgaon,1.689431631757367
2013,11,Gurgaon,0.013412264734506603
2013,12,Gurgaon,0.13238179299139208
2013,1,Hapur,1.1367541878454146
2013,2,Hapur,3.1816675141453743
2013,3,Hapur,0.4572665354897899
2013,4,Hapur,0.024534382919470462
2013,5,Hapur,0.10332564336638297
2013,6,Hapur,5.350865119695664
2013,7,Hapur,2.903877004260017
2013,8,Hapur,5.018621500821844
2013,9,Hapur,1.211204302807649
2013,10,Hapur,0.4813605296996332
2013,11,Hapur,0.006175842136144634
2013,12,Hapur,0.36625367643371703
2013,1,Jhajjar,0.8877303513788408
2013,2,Jhajjar,2.6740116035299644
2013,3,Jhajjar,0.09954611220026528
2013,4,Jhajjar,0.1961221130357848
2013,5,Jhajjar,0.020277833425870508
2013,6,Jhajjar,1.4635117083787919
2013,7,Jhajjar,2.944617590917054
2013,8,Jhajjar,5.1188116555893295
2013,9,Jhajjar,1.7027441953619322
2013,10,Jhajjar,1.1054416781151166
2013,11,Jhajjar,0.0
2013,12,Jhajjar,0.023697615310709966
2013,1,Jind,1.265775203704834
2013,2,Jind,5.103772095271519
2013,3,Jind,0.03821729844616306
2013,4,Jind,0.061155637105306
2013,5,Jind,0.0
2013,6,Jind,1.5695039788881937
2013,7,Jind,3.372796696760962
2013,8,Jind,7.718370517415385
2013,9,Jind,2.7363277037938434
2013,10,Jind,1.3390906131075275
2013,11,Jind,0.00662443141142527
2013,12,Jind,0.08470501438263923
2013,1,Meerut,1.2740394011620553
2013,2,Meerut,3.806462071037718
2013,3,Meerut,0.31157547043215844
2013,4,Meerut,0.05777867150803407
