YEAR,MONTH,DISTRICT_NAME,RAINFALL,DATE,RAINFALL_STANDARDIZED,RAINFALL_STANDARDIZED_DISTRICT
2013,1,Alwar,0.0375828523240331,2013-01-01,-0.6744112642369863,-0.667447254264675
2013,2,Alwar,2.247853127593289,2013-02-01,0.2888467974618151,0.21874291110623884
2013,3,Alwar,0.0,2013-03-01,-0.6907902500505426,-0.6825157979123917
2013,4,Alwar,0.0729068793001629,2013-04-01,-0.6590166972751347,-0.6532843685498365
2013,5,Alwar,0.0828157616650454,2013-05-01,-0.6546983064759663,-0.6493114815233816
2013,6,Alwar,1.7267621178712165,2013-06-01,0.06175008372059277,0.009815644044908537
2013,7,Alwar,7.103935776561635,2013-07-01,2.405176556873069,2.165750358066471
2013,8,Alwar,9.063408813306262,2013-08-01,3.2591346544164836,2.951385379222891
2013,9,Alwar,2.205450654100804,2013-09-01,0.27036737216952583,0.20174197895016424
2013,10,Alwar,0.8002330112841821,2013-10-01,-0.34204063875556495,-0.36166878090276205
2013,11,Alwar,0.0,2013-11-01,-0.6907902500505426,-0.6825157979123917
2013,12,Alwar,0.0,2013-12-01,-0.6907902500505426,-0.6825157979123917
2013,1,Baghpat,1.846419999676366,2013-01-01,0.11389819455765833,0.040205674733686185
2013,2,Baghpat,3.8911202380965855,2013-02-01,1.004999165535429,0.8821036981407462
2013,3,Baghpat,0.1008260162366974,2013-03-01,-0.6468492560211397,-0.6785364160211756
2013,4,Baghpat,0.0497403929630915,2013-04-01,-0.6691128854993104,-0.6995707390238453
2013,5,Baghpat,0.4688687959024982,2013-05-01,-0.4864525034023088,-0.5269961154393759
2013,6,Baghpat,5.251621685922146,2013-06-01,1.597919408020803,1.4422853121712442
2013,7,Baghpat,2.0802246817658023,2013-07-01,0.21579263136274057,0.1364739178804152
2013,8,Baghpat,9.104850264085876,2013-08-01,3.2771952563250415,3.0288384228600003
2013,9,Baghpat,2.2857746611038845,2013-09-01,0.30537338394980124,0.22110838804108646
2013,10,Baghpat,1.896995036111724,2013-10-01,0.1359393051458802,0.061029765428547905
2013,11,Baghpat,0.1213861842950185,2013-11-01,-0.637888927570065,-0.6700708402247981
2013,12,Baghpat,0.3055591143427356,2013-12-01,-0.5576245085077667,-0.5942382937914596
2013,1,Bharatpur,0.2405648577597833,2013-01-01,-0.5859496605573379,-0.5459197442872192
2013,2,Bharatpur,1.07951896744115,2013-02-01,-0.2203250043385547,-0.12737521827318796
2013,3,Bharatpur,0.0,2013-03-01,-0.6907902500505426,-0.6659347763429561
2013,4,Bharatpur,0.0,2013-04-01,-0.6907902500505426,-0.6659347763429561
2013,5,Bharatpur,0.0434814653088969,2013-05-01,-0.6718405892502727,-0.6442423749611693
2013,6,Bharatpur,0.6979433305561542,2013-06-01,-0.3866195125215193,-0.31773890114398157
2013,7,Bharatpur,4.566481110790083,2013-07-01,1.2993282403354323,1.612229964745876
2013,8,Bharatpur,6.367624390269479,2013-08-01,2.0842846339700483,2.510799566460296
2013,9,Bharatpur,1.449782451738914,2013-09-01,-0.05896044626021731,0.05734496218408317
2013,10,Bharatpur,0.3292570844773323,2013-10-01,-0.5472966942881836,-0.5016722156509696
2013,11,Bharatpur,0.0,2013-11-01,-0.6907902500505426,-0.6659347763429561
2013,12,Bharatpur,0.0133901757578695,2013-12-01,-0.6849546765052392,-0.6592545721444801
2013,1,Bulandshahr,0.6736991962117533,2013-01-01,-0.39718535060813437,-0.36754684889928213
2013,2,Bulandshahr,2.0925052412918634,2013-02-01,0.22114462297119186,0.28551929736842036
2013,3,Bulandshahr,0.221000773291434,2013-03-01,-0.5944758857410875,-0.5759206541161513
2013,4,Bulandshahr,0.0257291512688,2013-04-01,-0.6795772266218488,-0.6658027673986364
2013,5,Bulandshahr,0.0938063129301994,2013-05-01,-0.6499085134686907,-0.6344673429625619
2013,6,Bulandshahr,4.7349516434967525,2013-06-01,1.3727493963832471,1.5018182373052489
2013,7,Bulandshahr,2.44760770922707,2013-07-01,0.3759018573216645,0.44897039138423533
2013,8,Bulandshahr,3.270076760168999,2013-08-01,0.7343421588006602,0.8275469384645463
2013,9,Bulandshahr,0.488902746240298,2013-09-01,-0.47772150593721,-0.4526073163573246
2013,10,Bulandshahr,0.5608152295312574,2013-10-01,-0.4463813209644204,-0.4195065211540481
2013,11,Bulandshahr,0.057726757923762,2013-11-01,-0.6656323471605783,-0.6510745008111016
2013,12,Bulandshahr,0.2847178070775924,2013-12-01,-0.5667073602585759,-0.5465921649610421
2013,1,Faridabad,0.9176407398716095,2013-01-01,-0.29087316736847085,-0.16551629171022647
2013,2,Faridabad,2.3485115308846747,2013-02-01,0.33271474408039986,0.704224383016128
2013,3,Faridabad,0.0687841450975787,2013-03-01,-0.660813426390716,-0.6814853869784099
2013,4,Faridabad,0.0504669249057769,2013-04-01,-0.6687962555564911,-0.6926193283159429
2013,5,Faridabad,0.020075925415562,2013-05-01,-0.6820409594235183,-0.7110921971229954
2013,6,Faridabad,1.36542506814003,2013-06-01,-0.09572424421046771,0.10666498856059799
2013,7,Faridabad,2.5717249248296983,2013-07-01,0.42999339077011367,0.8399024393976225
2013,8,Faridabad,4.694455879349863,2013-08-01,1.3551009342401308,2.130183479616319
2013,9,Faridabad,0.7594363649686178,2013-09-01,-0.3598202283801663,-0.26167925809195675
2013,10,Faridabad,0.4743818409981266,2013-10-01,-0.4840498627875875,-0.43494683443011334
2013,11,Faridabad,0.0273213744163513,2013-11-01,-0.6788833197272653,-0.7066881225257494
