YEAR,MONTH,DISTRICT_NAME,minT,maxT,avgT,DATE,minT_STANDARDIZED,maxT_STANDARDIZED,avgT_STANDARDIZED,minT_STANDARDIZED_DISTRICT,maxT_STANDARDIZED_DISTRICT,avgT_STANDARDIZED_DISTRICT
2022,2,Baghpat,9.225964042857145,23.760589928571427,16.493276985714285,2022-02-01,-1.2668824946931991,-1.2280665209690746,-1.2785711808022686,-1.2883543748263353,-1.1888858311099932,-1.2706819124416417
2022,3,Baghpat,16.656945693548387,33.680848,25.168896846774192,2022-03-01,-0.24984312469283895,0.293152286999173,0.006387047092501943,-0.267209631571968,0.3205118130160001,0.011975205929914653
2022,4,Baghpat,21.85065883333333,41.0727001,31.461679466666663,2022-04-01,0.46099307272370454,1.4266534882053534,0.9384199085226675,0.4464959217406535,1.4452047459147785,0.9423389783213655
2022,5,Baghpat,25.7270695483871,40.21390167741935,32.970485612903225,2022-05-01,0.991537016555701,1.2949613181754447,1.1618913034147913,0.9791814551524934,1.3145359360422064,1.165410179538871
2022,6,Baghpat,27.345133066666666,40.51978533333333,33.9324592,2022-06-01,1.2129928589474712,1.3418669497705134,1.3043705608688436,1.2015312244846716,1.3610770709893865,1.307634284436933
2022,7,Baghpat,26.91459325806452,35.217815032258066,31.066204145161294,2022-07-01,1.1540671400742362,0.528838006046341,0.8798455038765457,1.142367646510431,0.5543660535897609,0.8838694690075757
2022,8,Baghpat,26.44142183870968,34.59525316129032,30.5183375,2022-08-01,1.0893066568885377,0.433371454629937,0.7987002065072001,1.0773457516592364,0.45964135846637466,0.8028694870364175
2022,9,Baghpat,25.12478253333333,34.01334216666667,29.569062350000003,2022-09-01,0.9091051609619382,0.344138498873017,0.6581017323850848,0.8964168557680623,0.3711018186629032,0.6625227973542382
2022,10,Baghpat,19.263363677419356,31.847788677419352,25.555576177419358,2022-10-01,0.1068835944516169,0.012062390188690488,0.06365866519318775,0.0909570478876572,0.041606223753645456,0.06914426173483051
2022,11,Baghpat,13.267485066666666,28.570643766666667,20.919064416666664,2022-11-01,-0.7137407714168281,-0.4904703502681822,-0.6230615958513278,-0.7329798439484125,-0.4570214099362579,-0.6163462172839591
2022,12,Baghpat,8.26950160967742,22.66969270967742,15.46959715967742,2022-12-01,-1.397788476728511,-1.3953498068466206,-1.4301898358680585,-1.4197887709361556,-1.354869183591981,-1.4220290480731848
2022,1,Bulandshahr,8.038058706451613,17.97371972580645,13.005889216129033,2022-01-01,-1.4294648494545736,-2.11545228536476,-1.7950930755087866,-1.4515930082633433,-2.0693758534485474,-1.7862788171951363
2022,2,Bulandshahr,9.225964042857145,23.760589928571427,16.493276985714285,2022-02-01,-1.2668824946931991,-1.2280665209690746,-1.2785711808022686,-1.2883543748263353,-1.1888858311099932,-1.2706819124416417
2022,3,Bulandshahr,16.656945693548387,33.680848,25.168896846774192,2022-03-01,-0.24984312469283895,0.293152286999173,0.006387047092501943,-0.267209631571968,0.3205118130160001,0.011975205929914653
2022,4,Bulandshahr,21.85065883333333,41.0727001,31.461679466666663,2022-04-01,0.46099307272370454,1.4266534882053534,0.9384199085226675,0.4464959217406535,1.4452047459147785,0.9423389783213655
2022,5,Bulandshahr,25.7270695483871,40.21390167741935,32.970485612903225,2022-05-01,0.991537016555701,1.2949613181754447,1.1618913034147913,0.9791814551524934,1.3145359360422064,1.165410179538871
2022,6,Bulandshahr,27.345133066666666,40.51978533333333,33.9324592,2022-06-01,1.2129928589474712,1.3418669497705134,1.3043705608688436,1.2015312244846716,1.3610770709893865,1.307634284436933
2022,7,Bulandshahr,26.91459325806452,35.217815032258066,31.066204145161294,2022-07-01,1.1540671400742362,0.528838006046341,0.8798455038765457,1.142367646510431,0.5543660535897609,0.8838694690075757
2022,8,Bulandshahr,26.44142183870968,34.59525316129032,30.5183375,2022-08-01,1.0893066568885377,0.433371454629937,0.7987002065072001,1.0773457516592364,0.45964135846637466,0.8028694870364175
2022,9,Bulandshahr,25.12478253333333,34.01334216666667,29.569062350000003,2022-09-01,0.9091051609619382,0.344138498873017,0.6581017323850848,0.8964168557680623,0.3711018186629032,0.6625227973542382
2022,10,Bulandshahr,19.263363677419356,31.847788677419352,25.555576177419358,2022-10-01,0.1068835944516169,0.012062390188690488,0.06365866519318775,0.0909570478876572,0.041606223753645456,0.06914426173483051
2022,11,Bulandshahr,13.267485066666666,28.570643766666667,20.919064416666664,2022-11-01,-0.7137407714168281,-0.4904703502681822,-0.6230615958513278,-0.7329798439484125,-0.4570214099362579,-0.6163462172839591
2022,12,Bulandshahr,8.26950160967742,22.66969270967742,15.46959715967742,2022-12-01,-1.397788476728511,-1.3953498068466206,-1.4301898358680585,-1.4197887709361556,-1.354869183591981,-1.4220290480731848
2022,1,GautamBuddhaNagar,8.038058706451613,17.97371972580645,13.005889216129033,2022-01-01,-1.4294648494545736,-2.11545228536476,-1.7950930755087866,-1.4515930082633433,-2.0693758534485474,-1.7862788171951363
2022,2,GautamBuddhaNagar,9.225964042857145,23.760589928571427,16.493276985714285,2022-02-01,-1.2668824946931991,-1.2280665209690746,-1.2785711808022686,-1.2883543748263353,-1.1888858311099932,-1.2706819124416417
2022,3,GautamBuddhaNagar,16.656945693548387,33.680848,25.168896846774192,2022-03-01,-0.24984312469283895,0.293152286999173,0.006387047092501943,-0.267209631571968,0.3205118130160001,0.011975205929914653
2022,4,GautamBuddhaNagar,21.85065883333333,41.0727001,31.461679466666663,2022-04-01,0.46099307272370454,1.4266534882053534,0.9384199085226675,0.4464959217406535,1.4452047459147785,0.9423389783213655
2022,5,GautamBuddhaNagar,25.7270695483871,40.21390167741935,32.970485612903225,2022-05-01,0.991537016555701,1.2949613181754447,1.1618913034147913,0.9791814551524934,1.3145359360422064,1.165410179538871
2022,6,GautamBuddhaNagar,27.345133066666666,40.51978533333333,33.9324592,2022-06-01,1.2129928589474712,1.3418669497705134,1.3043705608688436,1.2015312244846716,1.3610770709893865,1.307634284436933
2022,7,GautamBuddhaNagar,26.91459325806452,35.217815032258066,31.066204145161294,2022-07-01,1.1540671400742362,0.528838006046341,0.8798455038765457,1.142367646510431,0.5543660535897609,0.8838694690075757
2022,8,GautamBuddhaNagar,26.44142183870968,34.59525316129032,30.5183375,2022-08-01,1.0893066568885377,0.433371454629937,0.7987002065072001,1.0773457516592364,0.45964135846637466,0.8028694870364175
