DISTRICT_NAME,State,AQI,YEAR,MONTH,TIME,TIME_ISO,DISTRICT_NAME_clean
Sonipat,Haryana,,2018,2,2018-02-01,2018-02-01T00:00:00,sonipat
South Delhi,NCTofDelhi,242.62,2018,2,2018-02-01,2018-02-01T00:00:00,south delhi
South East Delhi,NCTofDelhi,267.79,2018,2,2018-02-01,2018-02-01T00:00:00,south east delhi
South West Delhi,NCTofDelhi,264.49,2018,2,2018-02-01,2018-02-01T00:00:00,south west delhi
West,NCTofDelhi,262.79,2018,2,2018-02-01,2018-02-01T00:00:00,west delhi
West Delhi,NCTofDelhi,253.18,2018,2,2018-02-01,2018-02-01T00:00:00,west delhi
Alwar,Rajasthan,110.4,2018,3,2018-03-01,2018-03-01T00:00:00,alwar
Baghpat,UttarPradesh,,2018,3,2018-03-01,2018-03-01T00:00:00,baghpat
Bharatpur,Rajasthan,,2018,3,2018-03-01,2018-03-01T00:00:00,bharatpur
Bhiwani,Haryana,,2018,3,2018-03-01,2018-03-01T00:00:00,bhiwani
Bulandshahr,UttarPradesh,,2018,3,2018-03-01,2018-03-01T00:00:00,bulandshahr
East Delhi,NCTofDelhi,209.36,2018,3,2018-03-01,2018-03-01T00:00:00,east delhi
Faridabad,Haryana,185.42,2018,3,2018-03-01,2018-03-01T00:00:00,faridabad
Gautam Buddha Nagar,UttarPradesh,,2018,3,2018-03-01,2018-03-01T00:00:00,gautam buddha nagar
Ghaziabad,UttarPradesh,244.32,2018,3,2018-03-01,2018-03-01T00:00:00,ghaziabad
Gurugram,Haryana,223.96,2018,3,2018-03-01,2018-03-01T00:00:00,gurugram
Hapur,UttarPradesh,,2018,3,2018-03-01,2018-03-01T00:00:00,hapur
Jhajjar,Haryana,,2018,3,2018-03-01,2018-03-01T00:00:00,jhajjar
Jind,Haryana,,2018,3,2018-03-01,2018-03-01T00:00:00,jind
Mahendragarh,Haryana,,2018,3,2018-03-01,2018-03-01T00:00:00,mahendragarh
Meerut,UttarPradesh,,2018,3,2018-03-01,2018-03-01T00:00:00,meerut
Muzaffarnagar,UttarPradesh,,2018,3,2018-03-01,2018-03-01T00:00:00,muzaffarnagar
New Delhi,NCTofDelhi,182.87,2018,3,2018-03-01,2018-03-01T00:00:00,new delhi
North Delhi,NCTofDelhi,226.66,2018,3,2018-03-01,2018-03-01T00:00:00,north delhi
North East Delhi,NCTofDelhi,212.53,2018,3,2018-03-01,2018-03-01T00:00:00,north east delhi
North West Delhi,NCTofDelhi,258.19,2018,3,2018-03-01,2018-03-01T00:00:00,north west delhi
Nuh,Haryana,,2018,3,2018-03-01,2018-03-01T00:00:00,nuh
Palwal,Haryana,,2018,3,2018-03-01,2018-03-01T00:00:00,palwal
Panipat,Haryana,,2018,3,2018-03-01,2018-03-01T00:00:00,panipat
Rewari,Haryana,,2018,3,2018-03-01,2018-03-01T00:00:00,rewari
Rohtak,Haryana,192.96,2018,3,2018-03-01,2018-03-01T00:00:00,rohtak
Shahdara,NCTofDelhi,249.81,2018,3,2018-03-01,2018-03-01T00:00:00,shahdara
Shamli,UttarPradesh,,2018,3,2018-03-01,2018-03-01T00:00:00,shamli
Sonipat,Haryana,,2018,3,2018-03-01,2018-03-01T00:00:00,sonipat
South Delhi,NCTofDelhi,172.79,2018,3,2018-03-01,2018-03-01T00:00:00,south delhi
South East Delhi,NCTofDelhi,227.28,2018,3,2018-03-01,2018-03-01T00:00:00,south east delhi
South West Delhi,NCTofDelhi,216.77,2018,3,2018-03-01,2018-03-01T00:00:00,south west delhi
West,NCTofDelhi,214.0,2018,3,2018-03-01,2018-03-01T00:00:00,west delhi
West Delhi,NCTofDelhi,201.28,2018,3,2018-03-01,2018-03-01T00:00:00,west delhi
Alwar,Rajasthan,75.95,2018,4,2018-04-01,2018-04-01T00:00:00,alwar
Baghpat,UttarPradesh,,2018,4,2018-04-01,2018-04-01T00:00:00,baghpat
Bharatpur,Rajasthan,,2018,4,2018-04-01,2018-04-01T00:00:00,bharatpur
Bhiwani,Haryana,,2018,4,2018-04-01,2018-04-01T00:00:00,bhiwani
Bulandshahr,UttarPradesh,,2018,4,2018-04-01,2018-04-01T00:00:00,bulandshahr
East Delhi,NCTofDelhi,214.62,2018,4,2018-04-01,2018-04-01T00:00:00,east delhi
Faridabad,Haryana,178.8,2018,4,2018-04-01,2018-04-01T00:00:00,faridabad
Gautam Buddha Nagar,UttarPradesh,,2018,4,2018-04-01,2018-04-01T00:00:00,gautam buddha nagar
Ghaziabad,UttarPradesh,237.9,2018,4,2018-04-01,2018-04-01T00:00:00,ghaziabad
Gurugram,Haryana,248.33,2018,4,2018-04-01,2018-04-01T00:00:00,gurugram
Hapur,UttarPradesh,,2018,4,2018-04-01,2018-04-01T00:00:00,hapur
Jhajjar,Haryana,,2018,4,2018-04-01,2018-04-01T00:00:00,jhajjar
Jind,Haryana,,2018,4,2018-04-01,2018-04-01T00:00:00,jind
Mahendragarh,Haryana,,2018,4,2018-04-01,2018-04-01T00:00:00,mahendragarh
Meerut,UttarPradesh,,2018,4,2018-04-01,2018-04-01T00:00:00,meerut
Muzaffarnagar,UttarPradesh,,2018,4,2018-04-01,2018-04-01T00:00:00,muzaffarnagar
New Delhi,NCTofDelhi,196.88,2018,4,2018-04-01,2018-04-01T00:00:00,new delhi
North Delhi,NCTofDelhi,227.84,2018,4,2018-04-01,2018-04-01T00:00:00,north delhi
North East Delhi,NCTofDelhi,233.63,2018,4,2018-04-01,2018-04-01T00:00:00,north east delhi
North West Delhi,NCTofDelhi,277.75,2018,4,2018-04-01,2018-04-01T00:00:00,north west delhi
Nuh,Haryana,,2018,4,2018-04-01,2018-04-01T00:00:00,nuh
Palwal,Haryana,,2018,4,2018-04-01,2018-04-01T00:00:00,palwal
Panipat,Haryana,,2018,4,2018-04-01,2018-04-01T00:00:00,panipat
Rewari,Haryana,,2018,4,2018-04-01,2018-04-01T00:00:00,rewari
Rohtak,Haryana,220.06,2018,4,2018-04-01,2018-04-01T00:00:00,rohtak
Shahdara,NCTofDelhi,257.32,2018,4,2018-04-01,2018-04-01T00:00:00,shahdara
Shamli,UttarPradesh,,2018,4,2018-04-01,2018-04-01T00:00:00,shamli
Sonipat,Haryana,,2018,4,2018-04-01,2018-04-01T00:00:00,sonipat
South Delhi,NCTofDelhi,202.16,2018,4,2018-04-01,2018-04-01T00:00:00,south delhi
South East Delhi,NCTofDelhi,238.74,2018,4,2018-04-01,2018-04-01T00:00:00,south east delhi
South West Delhi,NCTofDelhi,214.76,2018,4,2018-04-01,2018-04-01T00:00:00,south west delhi
West,NCTofDelhi,223.33,2018,4,2018-04-01,2018-04-01T00:00:00,west delhi
West Delhi,NCTofDelhi,194.7,2018,4,2018-04-01,2018-04-01T00:00:00,west delhi
Alwar,Rajasthan,110.91,2018,5,2018-05-01,2018-05-01T00:00:00,alwar
Baghpat,UttarPradesh,,2018,5,2018-05-01,2018-05-01T00:00:00,baghpat
Bharatpur,Rajasthan,,2018,5,2018-05-01,2018-05-01T00:00:00,bharatpur
Bhiwani,Haryana,,2018,5,2018-05-01,2018-05-01T00:00:00,bhiwani
Bulandshahr,UttarPradesh,247.89,2018,5,2018-05-01,2018-05-01T00:00:00,bulandshahr
East Delhi,NCTofDelhi,216.57,2018,5,2018-05-01,2018-05-01T00:00:00,east delhi
Faridabad,Haryana,197.69,2018,5,2018-05-01,2018-05-01T00:00:00,faridabad
Gautam Buddha Nagar,UttarPradesh,205.83,2018,5,2018-05-01,2018-05-01T00:00:00,gautam buddha nagar
Ghaziabad,UttarPradesh,240.32,2018,5,2018-05-01,2018-05-01T00:00:00,ghaziabad
Gurugram,Haryana,266.23,2018,5,2018-05-01,2018-05-01T00:00:00,gurugram
Hapur,UttarPradesh,,2018,5,2018-05-01,2018-05-01T00:00:00,hapur
Jhajjar,Haryana,,2018,5,2018-05-01,2018-05-01T00:00:00,jhajjar
