YEAR,MONTH,DISTRICT_NAME,minT,maxT,avgT,DATE,minT_STANDARDIZED,maxT_STANDARDIZED,avgT_STANDARDIZED,minT_STANDARDIZED_DISTRICT,maxT_STANDARDIZED_DISTRICT,avgT_STANDARDIZED_DISTRICT,TEMP_ROLL,ANOMALY
2024,1,Baghpat,6.7951570787737445,16.08852998671993,11.441843532746836,2024-01-01,-1.5977372687089133,-2.4062135757614858,-2.024271318446118,-1.622389078738875,-2.3562132463596024,-2.017516972242517,-0.05487743835602835,True
2024,1,Bulandshahr,6.700348845404968,16.49743968321867,11.598894264311818,2024-01-01,-1.610663455513747,-2.3436919103647265,-2.0011133594321797,-1.6230464167997134,-2.321642125777589,-1.999232405263469,-0.05401464225168676,True
2024,1,Gautam Buddha Nagar,6.677280629868266,16.535059738317123,11.606170184092694,2024-01-01,-1.6138085838711302,-2.337939861642936,-2.0000404866706507,-1.6243248130163217,-2.3183921693693628,-1.9980595315582936,-0.05369176082586543,True
2024,1,Ghaziabad,6.7951570787737445,16.08852998671993,11.441843532746836,2024-01-01,-1.5977372687089133,-2.4062135757614858,-2.024271318446118,-1.622389078738875,-2.3562132463596024,-2.017516972242517,-0.05487743835602835,True
2024,1,Hapur,6.7951570787737445,16.08852998671993,11.441843532746836,2024-01-01,-1.5977372687089133,-2.4062135757614858,-2.024271318446118,-1.622389078738875,-2.3562132463596024,-2.017516972242517,-0.05487743835602835,True
2024,1,Meerut,6.7951570787737445,16.08852998671993,11.441843532746836,2024-01-01,-1.5977372687089133,-2.4062135757614858,-2.024271318446118,-1.622389078738875,-2.3562132463596024,-2.017516972242517,-0.05487743835602835,True
2024,1,Muzaffarnagar,6.7951570787737445,16.08852998671993,11.441843532746836,2024-01-01,-1.5977372687089133,-2.4062135757614858,-2.024271318446118,-1.622389078738875,-2.3562132463596024,-2.017516972242517,-0.05487743835602835,True
2024,1,New Delhi,6.363818312286611,16.526732760179957,11.445275536233284,2024-01-01,-1.6565461429349706,-2.3392130438279413,-2.0237652514238067,-1.650939789451758,-2.3183438422807563,-2.009710401881016,-0.048355888687168745,True
2024,1,Shahdara,6.7951570787737445,16.08852998671993,11.441843532746836,2024-01-01,-1.5977372687089133,-2.4062135757614858,-2.024271318446118,-1.622389078738875,-2.3562132463596024,-2.017516972242517,-0.05487743835602835,True
2024,1,Shamli,6.7951570787737445,16.08852998671993,11.441843532746836,2024-01-01,-1.5977372687089133,-2.4062135757614858,-2.024271318446118,-1.622389078738875,-2.3562132463596024,-2.017516972242517,-0.05487743835602835,True
2024,1,Delhi,6.135942391726183,16.758234930058105,11.447088660892144,2024-01-01,-1.6876148235001915,-2.3038167171385107,-2.0234978966262926,-1.665471366781332,-2.2976107377543435,-2.005385319645248,-0.04491055928546731,True
2024,1,Bhiwani,5.989741909888483,16.906761938525783,11.448251924207131,2024-01-01,-1.7075478469522782,-2.2811071653589616,-2.023326367312787,-1.6745983559614743,-2.284057302452163,-2.002541238619333,-0.04270010713510566,True
2024,1,Gurugram,6.210968788135147,16.682014618916426,11.446491703525789,2024-01-01,-1.677385699079072,-2.315470685803085,-2.02358592113968,-1.6607283630664762,-2.3044904623606017,-2.00682405379013,-0.046044907525578695,True
2024,1,Jhajjar,5.989741909888483,16.906761938525783,11.448251924207131,2024-01-01,-1.7075478469522782,-2.2811071653589616,-2.023326367312787,-1.6745983559614743,-2.284057302452163,-2.002541238619333,-0.04270010713510566,True
2024,1,Jind,5.989741909888483,16.906761938525783,11.448251924207131,2024-01-01,-1.7075478469522782,-2.2811071653589616,-2.023326367312787,-1.6745983559614743,-2.284057302452163,-2.002541238619333,-0.04270010713510566,True
2024,1,Karnal,6.392449494331114,16.497645962622858,11.445047728476986,2024-01-01,-1.652642557830596,-2.3436603705602232,-2.023798842879452,-1.6490873279432314,-2.320914159902094,-2.01024426677849,-0.048788772745567054,True
2024,1,Panipat,6.493126390441772,16.395366968647128,11.444246679544449,2024-01-01,-1.638916235550175,-2.3592986718605387,-2.0239169617711186,-1.6425256944271356,-2.329889437090821,-2.0121041628913656,-0.05031093914818252,True
2024,1,Rohtak,5.989741909888483,16.906761938525783,11.448251924207131,2024-01-01,-1.7075478469522782,-2.2811071653589616,-2.023326367312787,-1.6745983559614743,-2.284057302452163,-2.002541238619333,-0.04270010713510566,True
2024,1,Sonipat,6.251501839776193,16.640836554188883,11.446169196982538,2024-01-01,-1.6718594090231849,-2.321766748739781,-2.023633476431119,-1.6581490966718364,-2.3081855400961286,-2.0075953593483717,-0.046657739781905384,True
2024,1,North West Delhi,6.120621874832339,16.773799246357335,11.447210560594836,2024-01-01,-1.6897036279877315,-2.301436957049372,-2.0234799218719526,-1.6664349344683005,-2.296199529740739,-2.005089779131006,-0.04467892345850566,True
2024,1,North Delhi,6.490609468039005,16.39792394349652,11.44426670576776,2024-01-01,-1.639259393607186,-2.3589077143280317,-2.023914008798827,-1.6426906448620222,-2.329666256596133,-2.01205799763425,-0.05027288498811692,True
2024,1,North East Delhi,6.693641208528832,16.19166130564546,11.442651257087146,2024-01-01,-1.6115779770083376,-2.3904449552836677,-2.024152215230354,-1.629233461841732,-2.347468000405156,-2.015726153104792,-0.053342587233391324,True
2024,1,Central Delhi,6.434957517133392,16.45446149849977,11.44470950781658,2024-01-01,-1.6468469995344184,-2.3502632088870232,-2.023848715300378,-1.6463259493073703,-2.3247157057247496,-2.01103286802766,-0.04943146522667111,True
